"TotalSF","OverallQual2","YearBuilt","GarageCars","LotArea","KitchenQual","GarageType","FireplaceQu","Target"
2566,"Average",2003,2,8450,"Good","Attached","No Fireplace",208500
2524,"Average",1976,2,9600,"Average","Attached","Average",181500
2706,"Average",2001,2,11250,"Good","Attached","Average",223500
2473,"Average",1915,3,9550,"Good","Detached","Good",140000
3343,"Above Average",2000,3,14260,"Good","Attached","Average",250000
2158,"Average",1993,2,14115,"Average","Attached","No Fireplace",143000
3380,"Above Average",2004,2,10084,"Good","Attached","Good",307000
3197,"Average",1973,2,10382,"Average","Attached","Average",200000
2726,"Average",1931,2,6120,"Average","Detached","Average",129900
2068,"Average",1939,1,7420,"Average","Attached","Average",118000
2080,"Average",1965,1,11200,"Average","Detached","No Fireplace",129500
3499,"Above Average",2005,3,11924,"Excellent","Built In","Good",345000
1824,"Average",1962,1,12968,"Average","Detached","No Fireplace",144000
2988,"Average",2006,3,10652,"Good","Attached","Good",279500
2506,"Average",1960,1,10920,"Average","Attached","Fair",157000
1686,"Average",1929,2,6120,"Average","Detached","No Fireplace",132000
2008,"Average",1970,2,11241,"Average","Attached","Average",149000
1296,"Average",1967,2,10791,"Average","Car Port","No Fireplace",90000
2228,"Average",2004,2,13695,"Good","Detached","No Fireplace",159000
2368,"Average",1958,1,7560,"Average","Attached","No Fireplace",139000
3534,"Above Average",2005,3,14215,"Good","Built In","Good",325300
1745,"Average",1930,1,7449,"Good","Attached","Good",139400
3572,"Above Average",2002,2,9742,"Good","Attached","Good",230000
2100,"Average",1976,2,4224,"Average","Attached","Average",129900
2120,"Average",1968,1,8246,"Good","Attached","Average",154000
3166,"Above Average",2007,3,14230,"Good","Attached","Good",256300
1800,"Average",1951,2,7200,"Good","Detached","No Fireplace",134800
3408,"Above Average",2007,3,11478,"Good","Attached","Good",306000
3084,"Average",1957,1,16321,"Average","Attached","Good",207500
1040,"Average",1927,1,6324,"Fair","Detached","No Fireplace",68500
1966,"Below Average",1920,1,8500,"Average","Detached","No Fireplace",40000
2456,"Average",1966,1,8544,"Good","Attached","No Fireplace",149350
2468,"Above Average",2007,2,11049,"Good","Attached","No Fireplace",179900
3098,"Average",1959,2,10552,"Good","Attached","Good",165500
3122,"Above Average",2005,2,7313,"Excellent","Attached","Good",277500
3569,"Above Average",2004,3,13418,"Good","Built In","Good",309000
2194,"Average",1994,2,10859,"Average","Attached","No Fireplace",145000
