,LotFrontage,LotArea,Street,Alley,Utilities,LotConfig,LandSlope,YearBuilt,YearRemodAdd,HeatingQC,X1stFlrSF,X2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,X3SsnPorch,MoSold,YrSold,ByRR,ByHWY,ByFeeder,ByPositiveFeature,Remodeled,Exterior,HasMasonVeneer,HasBasement,HasGarage,StoneBrook,NorthridgeHeights,Northridge,Crawford,OverallCond2,OverallQual2,ExterQual2,Foundation2,SalePriceT
1,65,8450,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2003,2003,Ex,856,854,2,1,3,1,8,0,0,2,2008,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,208500
2,80,9600,Paved,0,All Public Utilities,Frontage on 2 sides of property,Gentle Slope,1976,1976,Ex,1262,0,2,0,3,1,6,1,0,5,2007,0,0,1,0,0,Metal,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,181500
3,68,11250,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2001,2002,Ex,920,866,2,1,3,1,6,1,0,9,2008,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,223500
4,60,9550,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1915,1970,Gd,961,756,1,0,3,1,7,1,0,2,2006,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,1,Average,Average,Average,Brick/Tile,140000
5,84,14260,Paved,0,All Public Utilities,Frontage on 2 sides of property,Gentle Slope,2000,2000,Ex,1145,1053,2,1,4,1,9,1,0,12,2008,0,0,0,0,0,Vinyl,1,1,1,0,0,1,0,Average,Above Average,Above Average,Poured Concrete,250000
6,85,14115,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1993,1995,Ex,796,566,1,1,1,1,5,0,320,10,2009,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Other,143000
7,75,10084,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2004,2005,Ex,1694,0,2,0,3,1,7,1,0,8,2007,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Above Average,Above Average,Poured Concrete,307000
8,70.04995837,10382,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1973,1973,Ex,1107,983,2,1,3,1,7,2,0,11,2009,0,0,0,1,0,Hard Board,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,200000
9,51,6120,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1931,1950,Gd,1022,752,2,0,2,2,8,2,0,4,2008,0,1,0,0,1,Other,1,1,1,0,0,0,0,Average,Average,Average,Brick/Tile,129900
10,50,7420,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1939,1950,Ex,1077,0,1,0,2,2,5,2,0,1,2008,0,1,0,0,1,Metal,1,1,1,0,0,0,0,Above Average,Average,Average,Brick/Tile,118000
11,70,11200,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1965,1965,Ex,1040,0,1,0,3,1,5,0,0,2,2008,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,129500
12,85,11924,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2005,2006,Ex,1182,1142,3,0,4,1,11,2,0,7,2006,0,0,0,0,1,Other,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,345000
13,70.04995837,12968,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1962,1962,TA,912,0,1,0,2,1,4,0,0,9,2008,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,144000
