_POSITIVES_PER_1OOK,_DEATHS_PER_100k,COUNTY,_Percent C_Female,_Percent C_Male,_Percent C_SexUnkn,_Percent  C_Age_0_4,_Percent   C_Age_5_14,_Percent  C_Age_15_24,_Percent  C_Age_25_34,_Percent  C_Age_35_44,_Percent C_Age_45_54,_Percent   C_Age_55_64,_Percent   C_Age_65_74,_Percent   C_Age_75_84,_Percent   C_Age_85plus,_Percent   C_Age_Unkn,C_AgeMedian,_Percent   C_RaceWhite,_Percent   C_RaceBlack,_Percent   C_RaceOther,_Percent   C_RaceUnknown,_Percent   C_HispanicYES,_Percent   C_HispanicNO,_Percent   C_HispanicUnk,_Percent   C_EDYes_Res,_Percent   C_EDYes_NonRes,_Percent   C_HospYes_Res,_Percent   C_HospYes_NonRes,Percent  C_Men,Percent  C_Women,Percent  C_FLRes,Percent  C_NotFLRes,Percent  C_FLResOut,_PUI_Percent_Age_0_4,_PUI_Percent_Age_5_14,_PUI_Percent_Age_15_24,_PUI_Percent_Age_25_34,_PUI_Percent_Age_35_44,_PUI_Percent_Age_45_54,_PUI_Percent_Age_55_64,_PUI_Percent_Age_65_74,_PUI_Percent_Age_75_84,_PUI_Percent_Age_85plus,_PUI_Percent_Age_Unkn,PUIAgeMedian,_PUIFemale_Percent,_PUIMale_Percent,PUIAgeAvrg,TPositive,Deaths,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC
142,0,GILCHRIST,46.2,53.8, -,3.8, -,19.2,11.5,11.5,15.4,26.9,7.7,3.8, -, -,46,69.2,3.8,7.7,19.2,7.7,76.9,15.4,3.8, -, -, -,53.8,46.2,100, -, -,1.767304860,1.767304860,10.751104566,12.371134021,13.402061856,14.432989691,16.053019146,13.991163476,10.162002946,5.301914580,0,52,61.676646707,38.323353293,2,26,0,51.648773006,48.351226994,91.202892200,5.603637160,0.684706398,0.580631025,0.120508326,1.807624890,6.102103418
256,8,PUTNAM,62.1,37.9, -,0.5,10,10.5,13.7,15.3,16.3,11.1,10.5,8.4,3.7, -,44,54.2,41.1,4.7, -,4.2,94.7,1.1,22.6, -,13.2, -,37.9,62.1,100, -, -,2.022274326,3.253223916,9.173505275,14.331770223,12.368112544,15.885111372,16.998827667,12.456037515,8.704572098,4.718640094,0.322391559,50,63.972764950,36.027235050,133,190,6,49.484244165,50.515755835,80.360826827,16.377438885,0.718687216,0.666100347,0.136186508,1.740760217,10.218033251
250,0,TAYLOR,34,66, -, -,1.9,22.6,32.1,17,3.8,13.2,3.8,7.5, -, -,32,64.2,5.7,26.4,3.8,32.1,62.3,5.7,18.9, -,11.3, -,64.8,35.2,98.1,1.9, -,3.819444444,2.199074074,8.912037037,14.699074074,12.731481481,12.962962963,18.287037037,15.972222222,8.217592593,2.662037037,0.462962963,50,57.550535077,42.449464923,3,54,0,54.562271655,45.437728345,76.377005966,19.622624058,0.975812792,0.846321047,0.055496462,2.122739675,4.504462840
160,3,OKALOOSA,54.9,45.1, -,1.9,5.2,7.7,18.5,16,14.2,16,10.8,7.7,4.3, -,45,79.6,11.7,5.9,2.8,29,68.2,2.8,23.8,0.6,13.9,0.3,45.5,54.5,97.3,2.4,0.3,2.387267905,2.107279693,7.707043914,14.750957854,14.470969643,13.380489243,15.664603596,11.921603301,10.727969349,8.384910109,0.574712644,52,61.408859840,38.591140160,137,332,6,50.657358312,49.342641688,81.122599134,10.343563196,0.726109548,3.255672580,0.230135717,4.321919824,9.694165553
452,34,CALHOUN,77.3,22.7, -, -, -,9.1,6.1,6.1,3,3,10.6,30.3,31.8, -,78,69.7,16.7, -,13.6, -,78.8,21.2,18.2, -,9.1, -,22.7,77.3,100, -, -,0.939849624,0.751879699,7.894736842,8.834586466,14.661654135,13.909774436,16.917293233,15.601503759,13.345864662,6.954887218,0.187969925,56,61.867704280,38.132295720,4,66,5,54.582847741,45.417152259,82.155343799,13.210392816,1.329951327,0.802084047,0.137108384,2.365119627,5.744841297
594,29,PALM BEACH,49.8,50.1,0.1,1.4,3.6,11.6,16.8,15.7,15.6,13.8,9.4,7.7,5.7,0.1,45,43.8,18.5,16.2,21.6,34.1,43,22.9,21.9,0.4,16.1,0.2,50.2,49.8,98.7,1.3,0,1.493826609,2.213186780,7.034240353,11.980400042,11.962527739,14.236778220,17.415069330,15.663583695,10.997423410,5.754881373,2.379994936,55,55.224322006,44.775677994,465,8833,426,48.505425182,51.494574818,74.840925716,19.702128146,0.586497041,2.930870068,0.109223717,1.830355310,22.919483344
275,11,ST. LUCIE,52.8,47,0.2,1.6,2.9,9.2,17,14.6,17,15.1,10.8,7.5,5.7, -,48,37.4,20.4,9.3,32.9,14.3,47.1,38.5,21.6,0.1,15.1,0.2,47,52.8,98.8,1.2, -,1.672274906,1.988375650,6.556541246,12.073009075,12.470684205,15.509330070,18.089120016,16.773733048,10.828999694,5.220760681,0.316100744,55,58.688289028,41.311710972,188,883,36,48.882377121,51.117622879,74.056139608,20.991629506,0.562081164,1.981452879,0.107433796,2.301263048,19.548902618
97,3,PASCO,54.7,45.3, -,1.8,3.1,12.5,13.5,18.4,18.8,13.1,13.3,4.1,3.3, -,46,62.4,13.7,13.7,10.2,21.6,65.9,12.5,22.7,0.8,17.6,0.6,45.5,54.5,97.9,2.1, -,1.942908384,2.376326409,7.106561052,11.754595726,13.510685996,15.916903303,17.934538933,15.946794201,9.692123748,4.169780302,0.209236288,53,58.762579202,41.237420798,223,521,15,48.627022219,51.372977781,87.930619128,6.466097141,0.477734744,2.702407205,0.104145433,2.318996349,15.790819636
662,9,GADSDEN,74,26, -,1,2,6,21.3,23.7,20,10.3,9,4.7,3.3, -,43,39.7,43,5,12.3,10.3,73,16.7,18.7, -,17.3, -,25.7,74.3,98.4,1.3,0.3,1.697851698,3.153153153,7.172557173,16.839916840,17.221067221,17.671517672,15.869715870,13.270963271,4.851004851,2.806652807,0.069300069,47,69.872016603,30.127983397,46,304,4,47.478973286,52.521026714,41.650324661,55.769817405,0.583954330,0.729942912,0.135093912,1.130866780,10.508998998
160,3,LEON,53.9,46.1, -,0.5,3,29.2,20.5,13.9,13.9,15.5,7.3,2.3,0.9, -,35,34.5,57.1,2.3,6.2,5,87,8,19.2,2.3,10.3,1.9,46.5,53.5,93.2,6.6,0.2,1.486250199,2.344619297,11.754887935,16.722301701,15.037354952,15.704975362,16.769988873,13.702114131,5.364806867,2.718168813,0.246383723,47,52.388836329,47.611163671,201,469,8,47.398650266,52.601349734,61.871029942,31.667817656,0.342219882,3.757923023,0.069059357,2.291950141,6.580125948
