Deaths,_DEATHS_PER_100k,_POSITIVES_PER_1OOK,COUNTY,TPositive,Beaches_Per_County,_POP_PER_SQUARE_MILE,_%_GDP_of_State_GDP,_POP_PERCENT_MALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP_%_State_Total,_POP_%_BTWN_0_29,_POP_%_BTWN_30_59,_POP_%_BTWN_60_PLUS
10,4,200,ALACHUA,541,0,308.5211429,1.345885167,48.31454015,69.85731008,20.5866882,0.359688245,6.260279453,0.079642608,2.856391412,10.27611907,1.267439226,47.7451881,57.37008994,19.43279646
4,14,106,BAKER,30,0,48.47008547,0.064424914,52.60800564,82.99418092,14.00811144,0.440839358,0.708869688,0.031740434,1.816258156,2.666196438,0.133126285,39.80603068,54.00105802,19.95415271
4,2,78,BAY,145,4,244.4419525,0.822489939,49.61438201,81.70244,11.67971849,0.828444521,2.279166914,0.160831575,3.349398501,6.706352847,0.869919587,36.81316013,52.72685078,23.84678904
2,7,188,BRADFORD,52,0,94.32653061,0.071348544,55.23582865,76.74167027,20.05264676,0.497620078,0.602192413,0.054089139,2.051781336,4.269436031,0.130201309,35.73849704,54.30188951,24.27520554
15,3,91,BREVARD,545,13,587.4498031,2.534198896,48.90734507,83.24433818,10.72566093,0.462093427,2.640366324,0.133702159,2.793838978,10.71644587,2.802196783,31.38431999,48.03459501,31.67819666
357,18,458,BROWARD,8928,11,1616.619718,10.47468719,48.71559915,63.22043193,30.09245308,0.405379088,3.887283089,0.122382461,2.272070355,30.42818487,9.161135388,35.78118754,53.86632227,22.84974837
5,34,452,CALHOUN,66,0,25.72663139,0.027042738,54.58284774,82.1553438,13.21039282,1.329951327,0.802084047,0.137108384,2.365119627,5.744841297,0.068485738,34.91465003,53.46541441,24.480702
73,39,288,CHARLOTTE,532,5,272.0558824,0.505019219,48.78755446,90.45124812,6.000064866,0.401085417,1.418934259,0.061081741,1.667585596,7.411972021,0.868562736,21.11482286,37.16634774,49.55945471
12,8,97,CITRUS,143,1,254.1735395,0.379632233,48.47866206,93.00475228,3.147455874,0.432639983,1.681887933,0.038531998,1.694731932,5.948123762,0.694524357,24.64019902,38.56715046,45.0756782
32,15,201,CLAY,435,0,357.7350993,0.487489404,49.31689437,80.60415047,12.32135584,0.564626606,3.17023955,0.159206191,3.180421341,10.33683217,1.014454683,37.39910771,52.11318449,22.30182532
60,16,667,COLLIER,2526,3,189.0549451,1.704097645,49.34608231,89.29186659,7.411595612,0.478218596,1.554078333,0.097228974,1.1670119,28.20247934,1.77699528,28.46616009,41.97517491,39.08234871
2,3,258,COLUMBIA,182,0,88.34962406,0.229006808,51.5807838,77.79952626,18.45737061,0.578698779,1.055274244,0.085102762,2.024027346,6.364268187,0.33101049,37.25231551,49.95815781,25.95208715
825,30,963,DESOTO,361,0,58.85243328,0.089581178,56.62994478,84.23004081,12.61970178,1.098989037,0.597508603,0.170716744,1.283043026,31.87601697,0.176010273,35.43706154,50.87092214,27.92285737
10,27,359,DIXIE,60,1,23.68794326,0.029709233,55.35329341,87.39520958,9.832335329,0.580838323,0.413173653,0.017964072,1.760479042,4.017964072,0.078406241,31.02994012,49.01197605,31.11976048
3,18,209,DUVAL,1990,6,1246.956693,6.384439866,48.45750441,60.8023103,30.5736486,0.4526506,5.064298276,0.121871517,2.985220711,10.13659503,4.461085034,40.09151941,55.04203936,20.10164379
57,6,312,ESCAMBIA,985,7,480.9969512,1.528205883,49.49672619,68.91998961,23.20795857,0.899427637,3.407556713,0.179695374,3.385372099,5.819658103,1.481427228,40.31990213,52.24920294,23.43138933
