Deaths,_DEATHS_PER_100k,_POSITIVES_PER_1OOK,COUNTY,TPositive,Beaches_Per_County,_POP_PER_SQUARE_MILE,_%_GDP_of_State_GDP,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP_%_State_Total,POP_%_0_4,_POP_%_5_9,_POP_%_10_14,_POP_%_15_19,_POP_%_20_24,_POP_%_25_29,_POP_%_30_34,_POP_%_35_39,_POP_%_40_44,_POP_%_45_49,_POP_%_50_54,_POP_%_55_59,_POP_%_60_64,_POP_%_65_69,_POP_%_70_74,_POP_%_75_79,_POP_%_80_84,_POP_%_80_Plus
10,4,200,ALACHUA,541,0,308.5211429,1.345885167,48.31454015,51.68545985,69.85731008,20.5866882,0.359688245,6.260279453,0.079642608,2.856391412,10.27611907,1.267439226,5.227888989,5.149728104,4.832268962,7.987227548,15.6310658,8.917008698,6.732208212,5.958007972,4.958585844,4.90153951,4.852272222,5.41940168,5.417179096,4.786335551,3.63985242,2.389648683,1.496169746,1.703610959
4,14,106,BAKER,30,0,48.47008547,0.064424914,52.60800564,47.39199436,82.99418092,14.00811144,0.440839358,0.708869688,0.031740434,1.816258156,2.666196438,0.133126285,6.27049903,6.506788926,6.810086405,6.457414918,5.836713102,7.924528302,7.123964028,6.672544525,6.242285311,6.951154999,6.619643802,6.630223946,5.794392523,4.863339799,3.66778346,2.60271557,1.713983424,1.31193793
4,2,78,BAY,145,4,244.4419525,0.822489939,49.61438201,50.38561799,81.70244,11.67971849,0.828444521,2.279166914,0.160831575,3.349398501,6.706352847,0.869919587,6.116457172,6.062486845,5.893559721,5.35385645,5.897337644,7.489462294,6.929790001,6.410595455,5.668503457,6.205508212,6.635112015,7.4905417,6.750068812,5.49903663,4.435281482,3.06713369,2.042776881,2.05249154
2,7,188,BRADFORD,52,0,94.32653061,0.071348544,55.23582865,44.76417135,76.74167027,20.05264676,0.497620078,0.602192413,0.054089139,2.051781336,4.269436031,0.130201309,5.387278235,5.538727823,5.452185201,5.044713688,6.043559787,8.272032309,7.067647483,7.13255445,6.036347901,6.551997692,6.389730275,6.808019616,6.47987884,5.351218809,4.536275782,3.584306938,2.120294245,2.203230925
15,3,91,BREVARD,545,13,587.4498031,2.534198896,48.90734507,51.09265493,83.24433818,10.72566093,0.462093427,2.640366324,0.133702159,2.793838978,10.71644587,2.802196783,4.661983182,4.939272747,5.361322546,5.324629848,5.190592595,5.906519069,5.510941628,5.382768506,4.991882369,5.834809139,6.824004061,8.393077646,7.996327379,6.868403901,5.903335685,4.586587227,3.206003529,3.117538942
357,18,458,BROWARD,8928,11,1616.619718,10.47468719,48.71559915,51.28440085,63.22043193,30.09245308,0.405379088,3.887283089,0.122382461,2.272070355,30.42818487,9.161135388,5.79712596,5.777702613,5.987669506,5.72143128,5.731322325,6.765935857,6.761118457,6.824462142,6.528243289,6.893084468,7.178284801,7.183870935,6.229051997,5.116232588,4.160849912,2.95275873,2.027561678,2.363293462
5,34,452,CALHOUN,66,0,25.72663139,0.027042738,54.58284774,45.41715226,82.1553438,13.21039282,1.329951327,0.802084047,0.137108384,2.365119627,5.744841297,0.068485738,4.901624734,5.580311236,6.258997738,5.312949887,5.37464866,7.486117776,6.985672174,6.649756633,6.526359087,6.992527593,6.84856379,6.601768698,6.444094056,5.504901625,4.586275451,3.516830054,2.303420854,2.125179955
73,39,288,CHARLOTTE,532,5,272.0558824,0.505019219,48.78755446,51.21244554,90.45124812,6.000064866,0.401085417,1.418934259,0.061081741,1.667585596,7.411972021,0.868562736,2.992464783,3.131385204,3.520578601,3.62976897,3.735175515,4.105449789,3.647607001,3.633012249,3.688688526,4.671942399,5.821144012,7.863328252,9.346046984,10.77362999,10.61957427,8.235764711,5.394112369,5.190326382
12,8,97,CITRUS,143,1,254.1735395,0.379632233,48.47866206,51.52133794,93.00475228,3.147455874,0.432639983,1.681887933,0.038531998,1.694731932,5.948123762,0.694524357,3.807907848,4.00597584,4.389943824,4.153343834,3.781543849,4.50148382,4.062759837,3.892407844,3.846439846,5.019299799,5.955559762,7.5076557,8.771099649,9.783071609,9.731019611,7.780083689,4.770531809,4.23987183
32,15,201,CLAY,435,0,357.7350993,0.487489404,49.31689437,50.68310563,80.60415047,12.32135584,0.564626606,3.17023955,0.159206191,3.180421341,10.33683217,1.014454683,5.533803547,6.273834648,7.057369766,6.719982228,5.502795365,6.311322152,6.296049465,6.586230516,6.309008108,6.89631234,6.949998149,7.261468399,6.518197638,5.555092747,4.3707653,2.805083491,1.630475027,1.422211115
