County Name,Week of Pivot1 Names,Pivot1 Values
Washington County,5,13
Walton County,5,11
Wakulla County,5,1
Volusia County,5,82
Union County,5,3
Taylor County,5,2
Suwannee County,5,22
Sumter County,5,21
Statewide Unallocated,5,0
St. Lucie County,5,80
St. Johns County,5,16
Seminole County,5,43
Sarasota County,5,106
Santa Rosa County,5,15
Putnam County,5,8
Polk County,5,174
Pinellas County,5,314
Pasco County,5,44
Palm Beach County,5,679
Osceola County,5,38
Orange County,5,120
Okeechobee County,5,2
Okaloosa County,5,15
Nassau County,5,4
Monroe County,5,6
Miami-Dade County,5,1302
Martin County,5,48
Marion County,5,29
Manatee County,5,143
Madison County,5,4
Liberty County,5,2
Levy County,5,2
Leon County,5,10
Lee County,5,232
Lake County,5,35
Lafayette County,5,0
Jefferson County,5,4
Jackson County,5,10
Indian River County,5,25
Holmes County,5,1
Hillsborough County,5,235
Highlands County,5,15
Hernando County,5,13
Hendry County,5,30
Hardee County,5,4
Hamilton County,5,2
Gulf County,5,0
Glades County,5,1
Gilchrist County,5,0
Gadsden County,5,10
Franklin County,5,0
Flagler County,5,7
Escambia County,5,58
Duval County,5,94
Dixie County,5,4
DeSoto County,5,13
Columbia County,5,5
Collier County,5,107
Clay County,5,42
Citrus County,5,17
Charlotte County,5,81
Calhoun County,5,7
Broward County,5,493
Brevard County,5,50
Bradford County,5,2
Bay County,5,9
Baker County,5,4
Alachua County,5,13
Washington County,4,91
Walton County,4,71
Wakulla County,4,7
Volusia County,4,550
Union County,4,14
Taylor County,4,9
Suwannee County,4,154
Sumter County,4,130
Statewide Unallocated,4,0
St. Lucie County,4,489
St. Johns County,4,94
Seminole County,4,206
Sarasota County,4,700
Santa Rosa County,4,82
Putnam County,4,51
Polk County,4,1082
Pinellas County,4,1910
Pasco County,4,249
Palm Beach County,4,4438
Osceola County,4,249
Orange County,4,664
Okeechobee County,4,14
Okaloosa County,4,76
Nassau County,4,20
Monroe County,4,42
Miami-Dade County,4,8449
Martin County,4,310
Marion County,4,126
Manatee County,4,984
Madison County,4,28
Liberty County,4,7
Levy County,4,14
Leon County,4,66
Lee County,4,1454
Lake County,4,203
Lafayette County,4,0
Jefferson County,4,28
Jackson County,4,34
Indian River County,4,155
Holmes County,4,7
Hillsborough County,4,1456
Highlands County,4,95
Hernando County,4,75
Hendry County,4,207
