County,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,YEAR,TOT_POP
ADAMS,0.724171467,0.763073240,0.891748335,0.921672776,0.011969776,0.008977332,0.489264607,0.378544176,0.109224209,0.137652428,1.789481559,1.910675544,46.534001646,47.699558614,49.008752899,2015,66835
ADAMS,0.737119218,0.797292215,0.922151185,0.952237683,0.016547574,0.013538924,0.479879654,0.365550959,0.115833020,0.153441143,1.853328319,1.951109440,46.491162091,47.595336593,49.016923656,2016,66475
ADAMS,0.731186702,0.835641946,0.935555656,0.950694098,0.016652285,0.013624597,0.499568554,0.376947182,0.110510620,0.157439787,1.860514404,2.020981879,46.649106075,47.321252857,49.255945623,2017,66057
ADAMS,0.764975694,0.896027307,0.988982521,1.013364217,0.015238560,0.013714704,0.515063316,0.387059415,0.109717629,0.169148012,1.840818006,2.013013730,46.623897109,47.266964327,49.263215641,2018,65623
ADAMS,0.842057003,0.932222817,1.025445098,1.048368610,0.015282341,0.012225873,0.537938412,0.401925575,0.110032857,0.180331627,1.843050355,2.064644304,46.548483228,47.210208604,49.258042332,2019,65435
ALEXANDER,0.902099970,0.783791778,1.227447501,0.961254067,0.088731145,0.073942621,0.147885241,0.073942621,0.192250813,0.251404910,18.589174800,15.084294587,32.150251405,32.091097308,47.663413191,2015,6762
ALEXANDER,1.021830005,0.820560458,1.223099551,0.990865459,0.077411364,0.077411364,0.139340455,0.077411364,0.201269546,0.263198638,17.603344171,15.281003251,32.419879238,32.605666512,48.149868401,2016,6459
ALEXANDER,0.923861102,0.764574705,1.369863014,1.067218860,0.079643198,0.079643198,0.159286397,0.095571838,0.175215037,0.270786875,17.967505575,15.418923224,31.857279388,32.462567697,47.785919083,2017,6278
ALEXANDER,1.026320146,0.811123986,1.208409204,1.059427247,0.082767754,0.082767754,0.165535507,0.099321304,0.182089058,0.281410363,17.033603708,15.262373779,32.378745241,33.156762125,48.170832644,2018,6041
ALEXANDER,0.989411560,0.867904878,1.267141121,1.128276341,0.086790488,0.086790488,0.190939073,0.104148585,0.190939073,0.260371463,16.490192675,15.275125846,32.789446277,33.206040618,48.567956952,2019,5761
BOND,0.946901594,2.499101043,0.581325662,0.803068441,0.005993048,0.017979144,0.215749730,0.425506413,0.221742778,0.329617644,1.534220304,4.548723481,46.955531583,45.067721443,52.373247033,2015,16686
BOND,0.967001088,2.465852774,0.574156896,0.809863411,0.006043757,0.018131270,0.211531488,0.471413030,0.271969056,0.362625408,1.523026713,4.526773843,46.754502599,45.189169588,52.224102502,2016,16546
BOND,1.009130226,2.474771744,0.654733301,0.780874580,0.006006728,0.018020183,0.216242191,0.492551658,0.276309467,0.378423835,1.513695339,4.541086016,46.630225853,45.182604517,52.150408457,2017,16648
BOND,1.099957925,2.524493599,0.661176895,0.823465769,0.006010699,0.018032097,0.240427962,0.546973613,0.276492156,0.396706137,1.484642664,4.628238264,46.312436136,45.326681493,52.004568131,2018,16637
BOND,1.114087422,2.502130768,0.718373311,0.882746865,0.006087909,0.018263728,0.243516376,0.572263485,0.280043833,0.389626202,1.570680628,4.766833070,46.079386339,45.263606478,51.917691465,2019,16426
BOONE,9.990854626,10.812071894,1.026521585,1.127307341,0.041060863,0.055992086,0.765225182,0.630844174,0.356482950,0.335952519,1.205696262,1.271020362,47.550346218,46.710464921,49.894548237,2015,53579
BOONE,10.164271047,11.084562255,1.011760314,1.138697032,0.041067762,0.056001493,0.772820609,0.632816875,0.349075975,0.354676125,1.232032854,1.332835542,47.492999813,46.679111443,49.914131043,2016,53570
BOONE,10.436716312,11.410311513,1.050212098,1.227739054,0.039242801,0.054192439,0.790462131,0.620409994,0.366266141,0.347579093,1.248294807,1.360417095,47.465101938,46.581204567,49.924317456,2017,53513
BOONE,10.667539267,11.690351533,1.090127150,1.245325355,0.044876589,0.050486163,0.792819746,0.637621541,0.387060583,0.373971578,1.336948392,1.454749439,47.290575916,46.467838444,49.880329095,2018,53480
BOONE,10.918123413,11.842596743,1.062677424,1.277454056,0.044822949,0.054161064,0.804945465,0.661138503,0.399671298,0.384730315,1.337217989,1.469819214,47.351710743,46.358135365,49.992529508,2019,53544
BROWN,0.503479935,5.893676884,0.236931734,0.503479935,0.029616467,0,0.103657634,0.207315267,0.044424700,1.199466904,0.207315267,18.791648156,44.069302532,34.962239005,64.415815193,2015,6753
BROWN,0.542413741,5.951484104,0.241072774,0.512279644,0.030134097,0,0.135603435,0.210938677,0.045201145,1.175229772,0.165737532,18.306463764,44.402591532,35.106222691,64.276028326,2016,6637
BROWN,0.605235285,6.067483734,0.332879407,0.559842639,0.030261764,0,0.121047057,0.226963232,0.105916175,1.210470570,0.166439703,18.444545317,44.439400817,34.770767136,64.472688758,2017,6609
BROWN,0.700898979,6.018589060,0.304738687,0.579003504,0.030473869,0,0.121895475,0.213317081,0.060947737,1.234191681,0.182843212,18.650007618,44.278531160,34.770684138,64.528416883,2018,6563
BROWN,0.775311645,6.156886592,0.334448161,0.592885375,0.030404378,0,0.106415324,0.212830648,0.076010946,1.246579507,0.228032837,18.653086044,43.979933110,34.965034965,64.259653390,2019,6578
BUREAU,4.114538234,4.493744588,0.618076498,0.650921143,0.020901138,0.017915261,0.576274223,0.331432325,0.217969007,0.194081992,0.450867397,0.432952136,48.045743633,49.051984115,49.063927622,2015,33491
BUREAU,4.299916158,4.716133669,0.634806564,0.709665828,0.020960594,0.017966223,0.595879746,0.341358246,0.236555276,0.191639717,0.461133070,0.476104923,48.008743562,48.978919631,49.071745119,2016,33396
BUREAU,4.399915502,4.822403959,0.657874883,0.751425899,0.021124423,0.018106648,0.621661587,0.353079639,0.253493074,0.214262003,0.488879500,0.461719528,48.003742041,48.854754504,49.102212029,2017,33137
BUREAU,4.557177099,4.872720653,0.646257471,0.734245578,0.027306654,0.018204436,0.661427835,0.364088716,0.263964319,0.206316939,0.515792348,0.482417549,47.917109136,48.866773871,49.018477502,2018,32959
BUREAU,4.569694741,4.888439377,0.655878387,0.741694250,0.027583670,0.018389114,0.689591762,0.367782273,0.278901557,0.196150546,0.539414000,0.511830330,47.922030158,48.758734829,49.049895795,2019,32628
CALHOUN,0.555555556,0.514403292,0.205761317,0.185185185,0,0,0.226337449,0.041152263,0.123456790,0.061728395,0.123456790,0.185185185,49.938271605,49.074074074,50.246913580,2015,4860
CALHOUN,0.616142945,0.533990552,0.246457178,0.225919080,0,0,0.184842884,0.020538098,0.143766687,0.061614295,0.184842884,0.225919080,49.763811871,49.168207024,50.071883344,2016,4869
CALHOUN,0.721500722,0.618429190,0.226757370,0.267985982,0,0,0.206143063,0.020614306,0.144300144,0.061842919,0.185528757,0.247371676,49.783549784,49.123891981,50.113378685,2017,4851
CALHOUN,0.662663077,0.641954856,0.227790433,0.331331539,0,0.020708221,0.227790433,0.041416442,0.207082212,0.062124663,0.186373990,0.248498654,49.575481466,49.140608822,50.010354111,2018,4829
CALHOUN,0.696349441,0.738552437,0.316522473,0.379826968,0,0.042202996,0.253217978,0.042202996,0.168811986,0.063304495,0.189913484,0.253217978,49.883941760,48.786663853,50.284870226,2019,4739
CARROLL,1.686928015,1.809862041,0.601010791,0.682966808,0.020489004,0,0.327824068,0.286846059,0.191230706,0.184401038,0.382461412,0.601010791,48.961890452,48.374538997,50.102445021,2015,14642
CARROLL,1.733351603,1.774458756,0.671416827,0.719375171,0.027404768,0.006851192,0.322006029,0.280898876,0.212386955,0.226089340,0.417922719,0.623458482,48.842148534,48.321457934,50.027404768,2016,14596
CARROLL,1.747841105,1.962003454,0.677029361,0.766839378,0.027633851,0.006908463,0.317789292,0.269430052,0.248704663,0.241796200,0.400690846,0.642487047,48.642487047,48.462867012,49.865284974,2017,14475
CARROLL,1.844348191,2.012016208,0.691630571,0.796423082,0.020958502,0,0.335336035,0.237529691,0.216571189,0.237529691,0.398211541,0.670672069,48.644683527,48.484001677,49.853290485,2018,14314
CARROLL,1.845508563,2.062216008,0.761971339,0.824886403,0.020971688,0,0.363509262,0.244669696,0.230688570,0.244669696,0.384480951,0.713037400,48.535477106,48.423628102,49.814750087,2019,14305
