Prop of Paraphernalia Drug Arrests per 100K,Prop Cannabis Arrests Per 100K,Prop Needle/Syringe Arrests per 100K,Prop Controlled Substance Arrests per 100K,Prop of Meth Arrests Per 100K,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k,County,Year,HTIS per 100K,Arson per 100K,Population,HTS Per 100K,Battery/Assault Per 100K,Sexual Assault Per 100k,Total Index Crime Rates per 100K
253.776795844,310.503373739,4.478414044,94.046694930,177.643757091,64.190601302,1409.207619275,409.028482713,13.435242133,7.464023407,ADAMS,2015,0,10.449632770,66988,0,259.748014570,58.219382576,2231.7
106.780565937,467.164975974,0,146.823278163,0,120.128136679,1588.360918313,774.159103043,40.042712226,0,ALEXANDER,2015,0,106.780565937,7492,0,1348.104644955,40.042712226,4017.6
277.954716544,196.884590885,92.651572181,249.001100237,86.860848920,40.535062829,486.420753952,225.838207192,0,5.790723261,BOND,2015,0,0,17269,0,23.162893045,0,781.7
0,0,0,0,0,0,0,0,0,0,BOONE,2015,0,1.856355232,53869,0,0,0,1.9
117.096018735,204.918032787,0,43.911007026,14.637002342,29.274004684,73.185011710,58.548009368,0,0,BROWN,2015,0,0,6832,0,117.096018735,14.637002342,292.7
200.945626478,224.586288416,8.865248227,47.281323877,8.865248227,17.730496454,721.040189125,325.059101655,11.820330969,2.955082742,BUREAU,2015,0,0,33840,0,91.607565012,50.236406619,1220.4
190.282025144,210.669384981,27.183146449,47.570506286,88.345225960,20.387359837,951.410125722,169.894665308,6.795786612,0,CARROLL,2015,0,0,14715,0,33.978933062,13.591573225,1196.1
326.847065978,372.453633323,53.207661903,258.437214959,144.420796595,45.606567346,539.677713591,114.016418364,0,0,CASS,2015,0,0,13156,0,471.267862572,0,1170.6
154.007328625,337.464334510,15.931792616,117.315927448,2.413907972,94.625192509,2044.580052430,531.059753878,98.970226859,3.379471161,CHAMPAIGN,2015,0,17.862918994,207133,3.862252755,279.530543178,61.313262493,3135.2
306.857075416,138.675793698,2.950548802,91.467012864,47.208780833,61.961524844,492.741649947,188.835123333,17.703292812,0,CHRISTIAN,2015,0,8.851646406,33892,0,88.516464062,2.950548802,861.6
222.496909765,142.150803461,0,37.082818294,74.165636588,37.082818294,377.008652658,166.872682324,0,0,CLARK,2015,0,12.360939431,16180,0,37.082818294,6.180469716,636.6
207.100591716,192.307692308,0,66.568047337,155.325443787,14.792899408,1109.467455621,199.704142012,0,0,CLAY,2015,0,7.396449704,13520,0,81.360946746,0,1412.7
58.139534884,84.396099025,1.875468867,41.260315079,20.630157539,24.381095274,598.274568642,82.520630158,3.750937734,0,CLINTON,2015,0,18.754688672,53320,0,56.264066017,9.377344336,793.3
125.656414104,133.158289572,3.750937734,84.396099025,110.652663166,24.381095274,868.342085521,273.818454614,26.256564141,1.875468867,COLES,2015,0,18.754688672,53320,0,234.433608402,61.890472618,1509.8
99.324191416,444.452407492,4.155185901,323.780471999,1.582020320,239.151915121,1728.309548388,391.692982844,213.801469030,10.178299408,COOK,2015,0.095302429,19.289211613,5246456,0.457451659,288.366089414,36.424588332,2927.8
314.546485845,165.007992575,5.156499768,108.286495127,51.564997680,72.190996751,861.135461249,283.607487238,0,0,CRAWFORD,2015,0,20.625999072,19393,0,206.259990718,10.312999536,1454.1
46.155266316,55.386319579,0,9.231053263,9.231053263,36.924213053,175.390012000,92.310532632,0,0,CUMBERLAND,2015,0,0,10833,0,83.079479369,0,387.7
508.239934763,688.399613131,20.860594337,257.912802716,9.482088335,38.876562174,1512.393089454,211.450569874,33.187309173,0.948208834,DEKALB,2015,0,16.119550170,105462,0,180.159678368,67.322827179,2060.5
147.383935151,122.819945959,0,6.140997298,0,18.422991894,491.279783837,276.344878408,0,0,DEWITT,2015,0,12.281994596,16284,0,18.422991894,42.986981086,859.7
367.037055659,105.586002313,10.055809744,90.502287697,0,45.251143848,427.371914123,155.865051033,5.027904872,0,DOUGLAS,2015,0,0,19889,0,231.283624114,5.027904872,869.8
219.254043066,345.981807811,5.253519858,75.800786527,1.822649747,36.238565553,1070.324260111,141.737821483,23.801661399,0.428858764,DUPAGE,2015,0.321644073,6.647310841,932708,0.321644073,48.032181562,17.047135867,1344.9
605.347233899,241.017880164,28.025334903,252.228014125,375.539487697,117.706406592,801.524578219,610.952300880,11.210133961,0,EDGAR,2015,0,16.815200942,17841,0,162.546942436,16.815200942,1737.6
0,30.225177573,0,0,0,0,151.125887865,136.013299078,0,0,EDWARDS,2015,0,0,6617,0,60.450355146,0,347.6
442.890442890,326.340326340,0,122.377622378,78.671328671,69.930069930,1459.790209790,343.822843823,8.741258741,0,EFFINGHAM,2015,0,14.568764569,34320,0,116.550116550,20.396270396,2033.8
210.333790581,132.601737540,13.717421125,123.456790123,54.869684499,22.862368541,855.052583448,155.464106081,0,0,FAYETTE,2015,0,0,21870,0,32.007315958,41.152263374,1106.5
569.842197545,409.117475161,14.611338399,146.113383986,87.668030392,36.528345996,971.654003507,460.257159556,21.917007598,0,FORD,2015,0,14.611338399,13688,0,292.226767972,58.445353594,1855.6
268.960442516,129.405495928,5.074725330,137.017583923,65.971429296,55.821978635,738.372535587,360.305498465,5.074725330,0,FRANKLIN,2015,0,7.612087996,39411,0,101.494506610,10.149450661,1278.8
269.392062654,211.070069709,0,111.089510373,16.663426556,52.767517427,824.839614519,211.070069709,11.108951037,2.777237759,FULTON,2015,0,13.886188797,36007,0,83.317132780,24.995139834,1224.8
113.400113400,151.200151200,37.800037800,37.800037800,18.900018900,37.800037800,737.100737101,359.100359100,0,0,GALLATIN,2015,0,18.900018900,5291,0,94.500094500,18.900018900,1266.3
297.751972607,171.207384249,89.325591782,133.988387673,126.544588358,14.887598630,565.728747953,364.746166443,0,0,GREENE,2015,0,0,13434,0,156.319785619,52.106595206,1153.8
517.600396629,454.139811601,57.511155181,194.348041646,11.898859693,15.865146257,819.038175508,216.162617749,11.898859693,0,GRUNDY,2015,0,21.814576103,50425,1.983143282,41.646008924,27.764005949,1156.2
0,12.054001929,0,12.054001929,12.054001929,96.432015429,421.890067502,216.972034716,0,0,HAMILTON,2015,0,24.108003857,8296,0,24.108003857,0,783.5
