County,Year,Unemployment Rate
ADAMS,2015,4.9
ALEXANDER,2015,9.1
BOND,2015,5.3
BOONE,2015,6.5
BROWN,2015,3.5
BUREAU,2015,6.4
CALHOUN,2015,6.7
CARROLL,2015,5.4
CASS,2015,5.6
CHAMPAIGN,2015,5
CHRISTIAN,2015,6.6
CLARK,2015,6.2
CLAY,2015,7
CLINTON,2015,4.5
COLES,2015,6
COOK,2015,6.2
CRAWFORD,2015,5.9
CUMBERLAND,2015,5.2
DEKALB,2015,5.5
DE WITT,2015,5.5
DOUGLAS,2015,4.9
DUPAGE,2015,4.8
EDGAR,2015,6.2
EDWARDS,2015,5.9
EFFINGHAM,2015,4.8
FAYETTE,2015,6.5
FORD,2015,5.3
FRANKLIN,2015,8
FULTON,2015,7.6
GALLATIN,2015,6.6
GREENE,2015,6.1
GRUNDY,2015,7
HAMILTON,2015,5.5
HANCOCK,2015,6.1
HARDIN,2015,8.4
HENDERSON,2015,6
HENRY,2015,6.1
IROQUOIS,2015,5.6
JACKSON,2015,5.5
JASPER,2015,6.2
JEFFERSON,2015,6.7
JERSEY,2015,6.3
JO DAVIESS,2015,5.4
JOHNSON,2015,8.5
KANE,2015,5.7
KANKAKEE,2015,6.8
KENDALL,2015,5.2
KNOX,2015,6.1
LAKE,2015,5.4
LASALLE,2015,6.9
LAWRENCE,2015,7.1
LEE,2015,5.3
LIVINGSTON,2015,5.4
LOGAN,2015,5.4
MCDONOUGH,2015,6.1
MCHENRY,2015,5.4
MCLEAN,2015,4.7
MACON,2015,6.9
MACOUPIN,2015,6.3
MADISON,2015,6
MARION,2015,6.7
MARSHALL,2015,6.6
MASON,2015,7.1
MASSAC,2015,7.3
MENARD,2015,4.8
MERCER,2015,6.2
MONROE,2015,4.4
MONTGOMERY,2015,7.5
MORGAN,2015,5
MOULTRIE,2015,4.3
OGLE,2015,6.1
PEORIA,2015,6.8
PERRY,2015,7.1
PIATT,2015,4.9
PIKE,2015,5.1
POPE,2015,7
PULASKI,2015,8.8
PUTNAM,2015,6.1
RANDOLPH,2015,5.4
RICHLAND,2015,5.8
ROCK ISLAND,2015,6.3
ST. CLAIR,2015,6.5
SALINE,2015,7.7
SANGAMON,2015,5.3
SCHUYLER,2015,5.8
SCOTT,2015,5.9
SHELBY,2015,5.8
STARK,2015,6.6
STEPHENSON,2015,6.6
TAZEWELL,2015,6.2
UNION,2015,7.6
VERMILION,2015,7.1
WABASH,2015,5.6
WARREN,2015,5.2
WASHINGTON,2015,3.8
WAYNE,2015,6.8
WHITE,2015,5.7
WHITESIDE,2015,6.2
WILL,2015,6.2
WILLIAMSON,2015,6.1
WINNEBAGO,2015,7
WOODFORD,2015,5
ADAMS,2017,3.9
ALEXANDER,2017,8.3
BOND,2017,4.4
BOONE,2017,6.7
BROWN,2017,2.9
BUREAU,2017,4.9
CALHOUN,2017,5.5
CARROLL,2017,4.6
CASS,2017,4.5
CHAMPAIGN,2017,4.3
CHRISTIAN,2017,5.3
CLARK,2017,4.9
CLAY,2017,5.4
CLINTON,2017,3.6
COLES,2017,4.7
COOK,2017,5.1
CRAWFORD,2017,5.3
CUMBERLAND,2017,4
DEKALB,2017,4.6
DE WITT,2017,4.7
DOUGLAS,2017,4.1
DUPAGE,2017,4
EDGAR,2017,4.9
EDWARDS,2017,4.6
EFFINGHAM,2017,3.8
FAYETTE,2017,5.5
FORD,2017,4.8
FRANKLIN,2017,6.5
FULTON,2017,6.4
GALLATIN,2017,5.8
GREENE,2017,5.1
GRUNDY,2017,5.8
HAMILTON,2017,4.5
HANCOCK,2017,5.2
HARDIN,2017,7.8
HENDERSON,2017,5.2
HENRY,2017,5.1
IROQUOIS,2017,4.6
JACKSON,2017,4.5
JASPER,2017,5
JEFFERSON,2017,5.5
JERSEY,2017,4.8
JO DAVIESS,2017,4.5
JOHNSON,2017,7.5
KANE,2017,4.9
KANKAKEE,2017,5.5
KENDALL,2017,4.3
KNOX,2017,5.2
LAKE,2017,4.5
LASALLE,2017,5.6
LAWRENCE,2017,6.1
LEE,2017,4.4
LIVINGSTON,2017,4.5
LOGAN,2017,4.6
MCDONOUGH,2017,5
