Prop Female household no Children,Female Household with Children under 6,Prop Female Household with Children under 18,Prop Female Household,Prop Male Household No Children,Prop Male Household with children under 6,Prop Male Household with children under 18,Prop Male Household,Prop Other Family Type (Not Married),Prop Married no children under 18,Prop Married with children under 6,Prop Married with Children under 18,Prop Married-Couple Family,Prop Female Poverty 75+,Prop Female Poverty 65-74,Prop Female Poverty 55-64,Prop Female Poverty 45-54,Prop Female Poverty 35-44,Prop Female Poverty 25-34,Prop Female Poverty 18-24,Prop Female 17 and Under,Prop Female Poverty,Prop Male Poveryy 75+,Prop Male Poverty 65-74,Prop Male Poverty 55-64,Prop Male Poverty 45-54,Prop Male Poverty 35-44,Prop Male Poverty 25-34,Prop Male Poverty 18-24,Prop Male Poverty Under 17,Prop Male Poverty,Prop 3 Earner,Prop 2 Earner,Prop 1 Earner,Prop No Earners,County
5.735010767,2.034455401,9.582908308,15.317919075,1.620763913,1.025728210,3.740224413,5.360988326,20.678907401,53.128187691,5.740677774,26.192904908,79.321092599,0.587564000,0.451853680,0.621491580,0.559805071,0.809635433,1.148911233,0.917586824,1.801246067,6.898093887,0.211276294,0.311516871,0.397877984,0.427179076,0.513540189,0.686262414,0.820430572,1.876812041,5.244895441,9.911594696,44.372662360,29.394763686,16.320979259,ADAMS
12.710154674,3.160726295,17.081371890,29.791526564,2.084734364,0.336247478,4.236718225,6.321452589,36.112979153,52.925353060,2.757229321,10.961667787,63.887020847,0.559006211,1.133540373,1.552795031,1.739130435,2.391304348,1.630434783,1.770186335,7.267080745,18.043478261,0.170807453,0.450310559,1.304347826,0.822981366,0.931677019,1.677018634,1.459627329,5.357142857,12.173913043,4.774714190,22.932078009,42.972427707,29.320780094,ALEXANDER
5.590666018,0.923675255,4.545454545,10.136120564,1.531356344,0.607681089,3.087019932,4.618376276,14.754496840,55.858045698,4.399611084,29.387457462,85.245503160,0.554627464,0.467758102,0.601403274,0.681590378,0.895422653,0.748412964,1.817574340,2.091546943,7.858336118,0.167056465,0.093551620,0.835282325,0.821917808,0.407617775,0.841964584,1.530237220,1.931172736,6.628800535,8.920758386,44.871171609,26.567817210,19.640252795,BOND
5.230680921,2.360622803,9.822773911,15.053454832,2.661978905,1.069096649,4.871923656,7.533902562,22.587357394,44.909234412,5.804692545,32.503408194,77.412642606,0.425700239,0.303264330,0.516114449,0.186479308,0.860818625,1.346795005,0.806193373,2.105897644,6.551262973,0.203431973,0.156341238,0.632899471,0.246755448,0.533067114,0.444536533,0.158224868,2.079526832,4.454783477,16.172777499,40.144937935,32.022673459,11.659611107,BOONE
1.632970451,2.021772939,10.419906687,12.052877138,1.477449456,0,0.622083981,2.099533437,14.152410575,53.965785381,10.342146190,31.881804044,85.847589425,0.312239800,0.374687760,0.374687760,0.249791840,0.666111574,0.936719400,0.874271440,2.102414654,5.890924230,0.228975853,0.145711907,0.291423813,1.269775187,0.707743547,0.499583680,0.353871774,0.645295587,4.142381349,4.432348367,51.244167963,27.993779160,16.329704510,BROWN
4.552160169,2.750263435,9.736564805,14.288724974,2.855637513,1.369863014,4.288724974,7.144362487,21.433087460,53.287671233,4.805057956,25.279241307,78.566912540,0.386276538,0.316320944,0.507938439,0.775594623,0.830342478,1.104081757,0.650891173,2.539692195,7.111138147,0.161202020,0.203783685,0.544437010,0.346736419,0.541395462,0.717805219,0.410608918,2.591398504,5.517367236,10.706006322,41.949420443,30.684931507,16.659641728,BUREAU
3.300330033,0.495049505,3.630363036,6.930693069,2.392739274,0.495049505,2.970297030,5.363036304,12.293729373,58.828382838,4.537953795,28.877887789,87.706270627,0.597014925,1.044776119,1.066098081,0.277185501,0.255863539,1.513859275,0.255863539,1.663113006,6.673773987,0.362473348,0.191897655,0.660980810,0.405117271,0.831556503,1.300639659,0.341151386,2.046908316,6.140724947,9.570957096,34.900990099,31.270627063,24.257425743,CALHOUN
5.955577252,1.732975348,7.249206737,13.204783988,2.465218453,0.439345863,2.147913107,4.613131560,17.817915548,59.189650964,4.051745179,22.992433488,82.182084452,0.847160961,0.217041238,0.749142337,0.784148988,0.966183575,0.735139677,1.113211510,1.281243436,6.693271722,0.308058531,0.119022614,0.721137016,0.665126374,0.266050550,0.658125044,0.357067843,1.337254078,4.431842050,8.445203808,41.176470588,31.095923847,19.282401757,CARROLL
7.324276432,3.839338452,11.665682221,18.989958653,4.813939752,1.092734790,3.573538098,8.387477850,27.377436503,46.278795038,6.526875369,26.343768458,72.622563497,0.592284296,0.352169041,0.512245878,1.064510965,0.784376501,1.176564751,1.240595486,2.145029614,7.867776533,0.104049944,0.088042260,0.720345766,0.944453338,0.960461021,0.328157516,0.736353450,1.768849048,5.650712342,11.961015948,42.557590077,32.279976373,13.201417602,CASS
6.712119431,2.130010580,10.722934054,17.435053485,3.799224168,1.168449512,3.204419890,7.003644058,24.438697543,45.999764899,8.538850359,29.561537557,75.561302457,0.303907455,0.282752607,0.604719079,0.575308680,0.711525265,1.373001254,5.064780273,1.855950962,10.771945575,0.120737427,0.197617242,0.450443478,0.460246944,0.450959450,1.387964439,5.273748897,1.737277423,10.078995299,8.172093570,47.906429999,32.192312213,11.729164218,CHAMPAIGN
