Year,County,Population,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,HTIS per 100K,Arson per 100K,Percent of Meth Arrests,Percent Needle/Syringe Arrests,Percent Controlled Substance Arrests,HTS Per 100K,Percent of Paraphernalia Drug Arrests,Battery/Assault Per 100K,Sexual Assault Per 100k,Percent Cannabis Arrests,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k,Prop Female household no Children,Female Household with Children under 6,Prop Female Household with Children under 18,Prop Female Household,Prop Male Household No Children,Prop Male Household with children under 6,Prop Male Household with children under 18,Prop Male Household,Prop Other Family Type (Not Married),Prop Married no children under 18,Prop Married with children under 6,Prop Married with Children under 18,Prop Married-Couple Family,Prop Female Poverty 75+,Prop Female Poverty 65-74,Prop Female Poverty 55-64,Prop Female Poverty 45-54,Prop Female Poverty 35-44,Prop Female Poverty 25-34,Prop Female Poverty 18-24,Prop Female 17 and Under,Prop Female Poverty,Prop Male Poveryy 75+,Prop Male Poverty 65-74,Prop Male Poverty 55-64,Prop Male Poverty 45-54,Prop Male Poverty 35-44,Prop Male Poverty 25-34,Prop Male Poverty 18-24,Prop Male Poverty Under 17,Prop Male Poverty,Prop 3 Earner,Prop 2 Earner,Prop 1 Earner,Prop No Earners,2018 Normalized Per Capital Income Dollars,2018-percent change,2018-rank percent  change,Normalize 2018 GDP,Percent Change - 2018,Rank in State for Percent Change - 2018
2018,ADAMS,65813,2648.4,3.8,0.764975694,0.896027307,0.988982521,1.013364217,0.01523856,0.013714704,0.515063316,0.387059415,0.109717629,0.169148012,1.840818006,2.01301373,46.623897109,47.266964327,49.263215641,0,4.558369927,53.846153846,0.466200466,17.016317016,0,0.205128205,305.410785103,100.284138392,8.158508159,88.128485254,1701.791439381,425.447859845,21.272392992,1.519456642,5.735010767,2.034455401,9.582908308,15.317919075,1.620763913,1.02572821,3.740224413,5.360988326,20.678907401,53.128187691,5.740677774,26.192904908,79.321092599,0.587564,0.45185368,0.62149158,0.559805071,0.809635433,1.148911233,0.917586824,1.801246067,6.898093887,0.211276294,0.311516871,0.397877984,0.427179076,0.513540189,0.686262414,0.820430572,1.876812041,5.244895441,9.911594696,44.37266236,29.394763686,16.320979259,-2139.588235294,6.4,28,4261888.01960784,4.6,27
2018,ALEXANDER,6057,742.9,8,1.026320146,0.811123986,1.208409204,1.059427247,0.082767754,0.082767754,0.165535507,0.099321304,0.182089058,0.281410363,17.033603708,15.262373779,32.378745241,33.156762125,48.170832644,0,0,58.064516129,0,35.483870968,0,0,99.058940069,0,6.451612903,66.03929338,396.235760277,165.098233449,16.509823345,0,12.710154674,3.160726295,17.08137189,29.791526564,2.084734364,0.336247478,4.236718225,6.321452589,36.112979153,52.92535306,2.757229321,10.961667787,63.887020847,0.559006211,1.133540373,1.552795031,1.739130435,2.391304348,1.630434783,1.770186335,7.267080745,18.043478261,0.170807453,0.450310559,1.304347826,0.822981366,0.931677019,1.677018634,1.459627329,5.357142857,12.173913043,4.77471419,22.932078009,42.972427707,29.320780094,10033.411764706,5.5,44,7366271.01960784,2.6,45
2018,BOND,16758,1175.6,4.3,1.099957925,2.524493599,0.661176895,0.823465769,0.006010699,0.018032097,0.240427962,0.546973613,0.276492156,0.396706137,1.484642664,4.628238264,46.312436136,45.326681493,52.004568131,0,5.9672992,52.212389381,2.654867257,17.699115044,0,0.194690265,77.574889605,0,7.96460177,53.705692803,841.389187254,179.018976011,11.934598401,5.9672992,5.590666018,0.923675255,4.545454545,10.136120564,1.531356344,0.607681089,3.087019932,4.618376276,14.75449684,55.858045698,4.399611084,29.387457462,85.24550316,0.554627464,0.467758102,0.601403274,0.681590378,0.895422653,0.748412964,1.81757434,2.091546943,7.858336118,0.167056465,0.09355162,0.835282325,0.821917808,0.407617775,0.841964584,1.53023722,1.931172736,6.628800535,8.920758386,44.871171609,26.56781721,19.640252795,7093.411764706,7.9,6,6990617.01960784,9,11
2018,BOONE,53195,1005.7,5.6,10.667539267,11.690351533,1.09012715,1.245325355,0.044876589,0.050486163,0.792819746,0.637621541,0.387060583,0.373971578,1.336948392,1.454749439,47.290575916,46.467838444,49.880329095,0,3.759751856,1.176470588,3.137254902,61.568627451,0,0.121568627,120.312059404,65.795657487,21.960784314,41.35727042,597.800545164,169.188833537,5.639627785,1.879875928,5.230680921,2.360622803,9.822773911,15.053454832,2.661978905,1.069096649,4.871923656,7.533902562,22.587357394,44.909234412,5.804692545,32.503408194,77.412642606,0.425700239,0.30326433,0.516114449,0.186479308,0.860818625,1.346795005,0.806193373,2.105897644,6.551262973,0.203431973,0.156341238,0.632899471,0.246755448,0.533067114,0.444536533,0.158224868,2.079526832,4.454783477,16.172777499,40.144937935,32.022673459,11.659611107,-2690.588235294,5.4,46,5839789.01960784,14.2,4
2018,BROWN,6659,210.2,2.6,0.700898979,6.01858906,0.304738687,0.579003504,0.030473869,0,0.121895475,0.213317081,0.060947737,1.234191681,0.182843212,18.650007618,44.27853116,34.770684138,64.528416883,0,0,20.930232558,2.325581395,18.604651163,0,0.348837209,60.069079441,0,23.255813953,0,75.086349302,75.086349302,0,0,1.632970451,2.021772939,10.419906687,12.052877138,1.477449456,0,0.622083981,2.099533437,14.152410575,53.965785381,10.34214619,31.881804044,85.847589425,0.3122398,0.37468776,0.37468776,0.24979184,0.666111574,0.9367194,0.87427144,2.102414654,5.89092423,0.228975853,0.145711907,0.291423813,1.269775187,0.707743547,0.49958368,0.353871774,0.645295587,4.142381349,4.432348367,51.244167963,27.99377916,16.32970451,9580.411764706,5.1,55,7143426.01960784,0,77
2018,BUREAU,32856,1327,4.9,4.557177099,4.872720653,0.646257471,0.734245578,0.027306654,0.018204436,0.661427835,0.364088716,0.263964319,0.206316939,0.515792348,0.482417549,47.917109136,48.866773871,49.018477502,0,0,4.651162791,2.325581395,32.558139535,0,0.209302326,97.394691989,51.740930119,39.534883721,39.566593621,885.682980278,243.486729973,9.130752374,0,4.552160169,2.750263435,9.736564805,14.288724974,2.855637513,1.369863014,4.288724974,7.144362487,21.43308746,53.287671233,4.805057956,25.279241307,78.56691254,0.386276538,0.316320944,0.507938439,0.775594623,0.830342478,1.104081757,0.650891173,2.539692195,7.111138147,0.16120202,0.203783685,0.54443701,0.346736419,0.541395462,0.717805219,0.410608918,2.591398504,5.517367236,10.706006322,41.949420443,30.684931507,16.659641728,815.411764706,4.9,64,6346281.01960784,0.4,72
2018,CARROLL,14335,1360.3,4.4,1.844348191,2.012016208,0.691630571,0.796423082,0.020958502,0,0.335336035,0.237529691,0.216571189,0.237529691,0.398211541,0.670672069,48.644683527,48.484001677,49.853290485,0,6.975933031,51.5625,10.9375,14.0625,0,0.171875,132.54272759,90.687129404,6.25,27.903732124,753.400767353,348.796651552,0,0,5.955577252,1.732975348,7.249206737,13.204783988,2.465218453,0.439345863,2.147913107,4.61313156,17.817915548,59.189650964,4.051745179,22.992433488,82.182084452,0.847160961,0.217041238,0.749142337,0.784148988,0.966183575,0.735139677,1.11321151,1.281243436,6.693271722,0.308058531,0.119022614,0.721137016,0.665126374,0.26605055,0.658125044,0.357067843,1.337254078,4.43184205,8.445203808,41.176470588,31.095923847,19.282401757,2347.411764706,-1.5,102,7083412.01960784,-12.6,102
2018,CASS,12298,1878.4,4.4,9.121182586,10.274528915,0.674139051,0.625406108,0.064977258,0.032488629,0.365497076,0.333008447,0.259909032,0.438596491,1.965562053,2.932098765,46.621182586,46.296296296,50.373619233,0,0,24,3,6.5,0,0.375,479.752805334,16.26280696,29,48.788420881,1032.688241991,284.599121808,16.26280696,0,7.324276432,3.839338452,11.665682221,18.989958653,4.813939752,1.09273479,3.573538098,8.38747785,27.377436503,46.278795038,6.526875369,26.343768458,72.622563497,0.592284296,0.352169041,0.512245878,1.064510965,0.784376501,1.176564751,1.240595486,2.145029614,7.867776533,0.104049944,0.08804226,0.720345766,0.944453338,0.960461021,0.328157516,0.73635345,1.768849048,5.650712342,11.961015948,42.557590077,32.279976373,13.201417602,2097.411764706,6.1,34,6908359.01960784,2.6,44
2018,CHAMPAIGN,209625,2586,4.2,2.924475271,3.158852504,1.469145095,1.441038882,0.037157366,0.062881697,5.136291314,5.680789642,0.161968007,0.199125373,7.237588011,6.5468421,37.208814871,36.152211816,49.805638392,0,10.494931425,0.831946755,3.161397671,50.74875208,0,0.138103161,296.243291592,78.234943351,31.447587354,75.372689326,1691.115086464,354.442456768,75.372689326,4.770423375,6.712119431,2.13001058,10.722934054,17.435053485,3.799224168,1.168449512,3.20441989,7.003644058,24.438697543,45.999764899,8.538850359,29.561537557,75.561302457,0.303907455,0.282752607,0.604719079,0.57530868,0.711525265,1.373001254,5.064780273,1.855950962,10.771945575,0.120737427,0.197617242,0.450443478,0.460246944,0.45095945,1.387964439,5.273748897,1.737277423,10.078995299,8.17209357,47.906429999,32.192312213,11.729164218,-581.588235294,5.2,53,-2809946.98039216,3.5,40
2018,CHRISTIAN,32716,932.3,5.1,0.624751171,1.029001929,0.508375953,0.59718862,0.024500046,0.018375034,0.358313172,0.263375494,0.14393777,0.125562735,0.290938046,1.365877561,49.049091967,47.821027164,50.852907849,0,0,30.994152047,0.584795322,15.789473684,0,0.298245614,73.358601296,9.169825162,22.807017544,48.905734197,586.868810368,204.792761951,9.169825162,0,5.949040296,2.491862162,10.450106634,16.39914693,5.017398137,1.01021439,4.130654394,9.148052531,25.547199461,51.116848131,3.636771804,23.335952408,74.452800539,0.518052377,0.664251208,0.963005339,0.92804475,0.553012967,1.064708874,1.001144165,2.237477752,7.929697432,0.276506484,0.254258835,0.870836512,0.715102975,0.562547674,0.476735317,0.584795322,1.29036359,5.031146707,8.75519138,43.495341789,29.644180043,18.105286789,3022.411764706,5,62,6200496.01960784,0.1,75
2018,CLARK,15625,691.2,5.1,0.608974359,0.967948718,0.467948718,0.596153846,0.019230769,0.012820513,0.294871795,0.121794872,0.141025641,0.108974359,0.224358974,0.237179487,49.064102564,49.256410256,49.596153846,0,0,26.582278481,0,24.050632911,0,0.367088608,102.4,19.2,12.658227848,38.4,339.2,192,0,0,6.971816063,2.22504768,9.917355372,16.889171435,2.860775588,1.674083492,3.390548845,6.251324433,23.140495868,51.006569188,6.547997457,25.852934944,76.859504132,0.462992734,0.186483184,0.366535914,0.578740917,0.887402739,1.524017748,1.163912289,2.347115941,7.517201466,0.237926821,0.16719182,0.237926821,0.643045463,0.462992734,0.559449553,0.617323645,2.160632757,5.086489615,9.832591651,44.013562195,29.900402628,16.253443526,1734.411764706,7.9,8,6938654.01960784,9.1,10
2018,CLAY,13133,1218.3,5.1,0.746268657,0.8744158,0.467360169,0.542740841,0,0,0.542740841,0.30152269,0.150761345,0.105532941,0.263832353,0.278908488,48.884366049,48.982360923,49.592944369,0,7.614406457,40.186915888,0.934579439,6.542056075,0,0.289719626,68.529658113,0,23.364485981,60.915251656,906.114368385,167.516942054,0,7.614406457,4.373650108,4.319654428,11.177105832,15.55075594,2.780777538,0.998920086,7.532397408,10.313174946,25.863930886,52.186825054,5.453563715,21.94924406,74.136069114,0.305600122,0.488960196,1.115440446,1.367560547,0.687600275,1.780120712,1.268240507,2.383680953,9.397203759,0.191000076,0.351440141,0.786920315,1.130720452,0.152800061,0.977920391,0.901520361,2.154480862,6.646802659,7.127429806,38.444924406,34.746220302,19.681425486,4395.411764706,8.5,4,6958196.01960784,0.3,74
2018,CLINTON,37417,903.3,3.5,1.159243441,1.973631854,0.620739051,0.610128127,0.02652731,0.037138234,0.3766878,0.190996631,0.164469321,0.201607555,0.554420776,3.156749874,48.290314879,46.348515797,51.908639945,2.672581981,18.70807387,19.186046512,9.88372093,21.511627907,2.672581981,0.296511628,69.487131518,21.380655852,19.76744186,53.451639629,628.056765641,109.57586124,2.672581981,0,5.9566787,1.136122319,6.891059673,12.847738373,2.909322574,1.337863665,4.353365895,7.262688469,20.110426842,48.375451264,6.360161393,31.514121894,79.889573158,0.633802817,0.481690141,0.476056338,0.394366197,0.625352113,0.783098592,0.56056338,1.211267606,5.166197183,0.163380282,0.197183099,0.673239437,0.281690141,0.383098592,0.461971831,0.329577465,1.371830986,3.861971831,14.164366107,42.62051391,29.953280951,13.261839032,-3506.588235294,6,37,6335888.01960784,3.2,42
2018,COLES,51489,1231.3,4.6,1.247319444,1.361427532,0.877451848,0.800723996,0.025575951,0.106238565,0.57054044,0.462334494,0.1436188,0.114108088,1.990989396,1.989022015,45.698321824,47.947038108,48.444785457,0,13.595136825,64.139941691,1.166180758,17.49271137,0,0.113702624,223.348676416,67.975684127,5.83090379,21.36378644,555.458447435,339.878420634,9.710812018,0,8.185750428,2.938055986,12.05419081,20.239941239,3.256345385,1.828123725,4.709050845,7.965396229,28.205337468,46.698767649,4.945727577,25.095894883,71.794662532,0.342935528,0.430228208,0.956062684,1.124412853,0.98100345,1.614914578,3.807623561,2.494076568,11.75125743,0.147566197,0.361641102,0.818888473,0.482188137,1.09739369,1.454877998,2.918069585,2.423411065,9.704036247,6.790173835,41.434750673,36.546151963,15.228923529,3751.411764706,4.9,65,5240922.01960784,1.9,51
2018,COOK,5190144,3135,4.1,12.532386175,12.948901384,1.006620314,0.986801909,0.035653795,0.037877323,4.058558071,3.719789016,0.353715033,0.37784515,13.006887138,10.867408101,33.427153342,32.985889295,48.552676355,0.019267288,10.943819671,0.464668453,0.380944407,57.673308774,0.30827661,0.092263898,343.497213179,49.960078179,32.254688547,254.617212933,1903.241990974,343.054065552,217.373544934,12.292529841,12.458375781,1.81203677,11.434643852,23.893019633,5.029624786,0.820235748,3.217756964,8.24738175,32.140401383,39.52159391,7.064671069,28.338004707,67.859598617,0.507219524,0.522264253,0.832948619,0.814011334,1.036762857,1.29262057,1.087054682,2.420858495,8.513740334,0.215667071,0.328200868,0.685089875,0.640928826,0.650115259,0.823664873,0.856771062,2.428254352,6.628692187,12.847713223,41.115689564,33.420340833,12.61625638,-17458.588235294,5.4,48,-354516810.980392,2.1,50
2018,CRAWFORD,18761,815.5,5.2,0.738183749,1.486988848,0.568242167,0.568242167,0.015932023,0.031864047,0.377057886,0.223048327,0.19118428,0.19118428,0.382368561,4.77960701,47.153478492,46.043547531,52.421667552,0,0,33.333333333,3.80952381,19.047619048,0,0.219047619,154.575982091,5.330206279,21.904761905,15.990618837,458.397739993,175.896807206,5.330206279,0,5.642941408,2.988596146,8.906802989,14.549744396,3.8733779,1.258356272,3.165552497,7.038930397,21.588674794,50.235941801,6.84231223,28.175383405,78.411325206,0.559778446,0.724765777,0.736550586,0.630487302,0.3771139,1.314006246,0.807259443,1.408284721,6.55824642,0.312297449,0.436037947,0.618702492,0.47728478,0.748335396,0.418360733,0.883860704,1.154911319,5.04979082,12.013370035,41.191506095,30.495477782,16.299646087,-3585.588235294,7.5,13,4392264.01960784,3.8,37
2018,CUMBERLAND,10839,682.7,3.9,0.564605702,0.490559052,0.47204739,0.536838208,0.064790818,0.018511662,0.39800074,0.222139948,0.101814143,0.083302481,0.231395779,0.277674935,49.148463532,48.954091077,49.777860052,0,0,25.925925926,0,11.111111111,0,0.296296296,36.903773411,9.225943353,33.333333333,46.129716764,405.941507519,175.292923701,9.225943353,0,3.544648943,3.476482618,8.350374915,11.895023858,2.624403545,0.102249489,2.147239264,4.771642808,16.666666667,52.385821404,6.987048398,30.947511929,83.333333333,0.382498367,0.643716765,0.67170445,0.764996735,0.970239761,1.707248811,0.895605933,1.679261125,7.715271947,0.317193768,0.42914451,0.522436794,0.475790652,1.026215132,0.42914451,0.578412165,2.509562459,6.287899991,9.781867757,45.807770961,27.130197682,17.280163599,968.411764706,4.5,73,7202919.01960784,3.7,38
2018,DEKALB,104217,1820.2,4.3,5.661769638,5.769101764,1.071404613,0.952572617,0.040249547,0.042166192,1.37806783,1.299485381,0.222330832,0.233830703,4.401575482,3.665583762,44.278335202,43.299887876,49.586483819,0,9.59536352,2.822580645,2.419354839,42.338709677,0.959536352,0.264112903,179.43329783,67.167544642,26.008064516,51.81496301,1286.738248079,190.947734055,33.583772321,0.959536352,6.852780807,2.865866957,12.030534351,18.883315158,2.66521265,0.863685932,4.157033806,6.822246456,25.705561614,43.72519084,6.774263904,30.569247546,74.294438386,0.190656808,0.231007455,0.464032442,0.553812632,0.829205798,1.276089215,3.514541364,2.073014496,9.13236021,0.122060708,0.195700639,0.360129526,0.335919137,0.421664262,1.027932735,3.063622883,1.809726523,7.336756413,11.842966194,44.505997819,30.92257361,12.728462377,3817.411764706,4.8,66,3932188.01960784,2.6,46
2018,DOUGLAS,19628,871.2,4,3.31997122,3.875012848,0.585877274,0.621852194,0,0,0.354609929,0.34433138,0.15417823,0.215849522,0.256963717,0.390584849,48.519888992,49.172576832,49.475794018,0,5.094762584,16.826923077,4.807692308,12.980769231,0,0.4375,198.695740778,20.379050336,21.634615385,30.568575504,427.960057061,168.127165274,20.379050336,0,3.888669562,2.427951046,9.19857876,13.087248322,3.375444137,1.559415713,2.704303198,6.079747335,19.166995657,48.006316621,8.487958942,32.826687722,80.833004343,0.680447446,0.458786535,0.577349348,0.623743492,0.752616114,0.953657405,0.530955204,1.525851848,6.103407392,0.355688438,0.293829579,0.407237486,0.72684159,0.360843342,0.335068818,0.293829579,2.309397392,5.082736224,10.659297276,42.874062377,32.431898934,14.034741413,-6790.588235294,7.4,15,6544543.01960784,5.4,20
2018,DUPAGE,927781,1255.1,3.2,7.06586271,7.328360189,1.01644977,1.024214691,0.025128148,0.028039994,6.402393321,6.109375388,0.195740725,0.193475956,2.794508906,2.442822678,40.29756904,40.415337014,49.150442115,0,3.556873874,1.195219124,1.743027888,38.047808765,0.107784057,0.31623506,48.287257445,25.868173631,27.390438247,54.754300853,978.032531384,124.706153715,18.538857769,1.401192738,6.382756226,0.956221295,6.450101646,12.832857872,3.011302318,0.359733295,2.024545523,5.035847841,17.868705713,46.503057733,8.381367488,35.628236554,82.131294287,0.262341479,0.264192021,0.405704022,0.399281554,0.484950743,0.54188211,0.428672509,1.004190932,3.79121537,0.111359059,0.17928482,0.330049529,0.280084907,0.300658575,0.36564524,0.393838785,1.018995265,2.979916181,15.507851388,46.477123472,28.04790309,9.96712205,-28142.588235294,5.5,45,-75049462.9803922,1,60
2018,EDGAR,17091,1679.2,4.6,0.679723502,0.570276498,0.420506912,0.455069124,0.005760369,0.023041475,0.195852535,0.144009217,0.115207373,0.138248848,0.305299539,0.34562212,48.381336406,49.919354839,49.038018433,0,5.851032707,47.76119403,8.955223881,13.432835821,0,0.298507463,327.657831607,87.765490609,0,93.616523316,462.231583875,696.272892165,5.851032707,0,9.103182257,2.545805207,10.318225651,19.421407907,2.410800386,1.215043394,5.053037608,7.463837994,26.885245902,48.81388621,5.380906461,24.300867888,73.114754098,0.638903409,0.423999535,1.277806819,0.696985538,0.772492304,0.528547366,1.022245455,1.196491839,6.557472266,0.081314979,0.313643492,0.859615496,0.946738689,0.615670558,0.418191323,0.37172562,2.178079805,5.784979962,8.486017358,39.807135969,34.117647059,17.589199614,2562.411764706,4,85,6790143.01960784,1.6,56
2018,EDWARDS,6424,435.9,4.4,0.657585721,0.861124158,0.641928918,0.532331298,0,0,0.250508846,0.140911226,0.297479255,0.187881635,0.266165649,0.281822452,48.677000157,49.24064506,49.303272272,0,0,28.571428571,2.380952381,9.523809524,0,0.380952381,31.133250311,0,21.428571429,15.566625156,311.332503113,77.833125778,0,0,4.756814538,4.382683057,9.139497595,13.896312133,2.244788883,0.427578835,1.068947087,3.31373597,17.210048103,54.783538215,4.917156601,28.006413683,82.789951897,0.530090427,0.685999376,0.545681322,0.296227003,0.608044902,0.85749922,0.873090115,1.465544122,5.862176489,0.280636109,0.124727159,0.701590271,0.654817587,0.389772373,0.561272217,0.280636109,1.418771437,4.412223262,9.94120791,44.78888295,32.549438803,12.720470337,4415.411764706,3.1,91,7266954.01960784,-2.9,90
2018,EFFINGHAM,33971,1610.2,3.7,1.073695913,1.167315175,0.459319505,0.441765893,0.023404816,0.002925602,0.327667418,0.336444223,0.125800884,0.137503291,0.231122553,0.342295427,49.044790966,48.942394898,49.890289927,0,5.887374525,38.998211091,6.082289803,13.595706619,0,0.209302326,111.860115981,41.211621677,20.393559928,85.366930617,1139.206970651,206.058108387,20.605810839,0,5.760905761,1.720501721,6.771006771,12.531912532,2.297702298,1.40970141,5.328005328,7.625707626,20.157620158,50.138750139,7.170607171,29.703629704,79.842379842,0.414245269,0.327819997,0.771867084,0.479809268,0.613917449,1.451348532,0.384443451,1.892415437,6.335866488,0.131127999,0.19967218,0.321859633,0.962598719,0.479809268,0.441066905,0.473848905,2.27983907,5.289822679,14.563214563,42.601842602,29.692529693,13.142413142,-5852.588235294,6,38,5504798.01960784,4.1,34
