Binary Target,Year,County,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Male,Percent Two or More Races Male,Percent Native Hawaiin Male,Percent Asain Male,Percent American Indian Male,Percent Black Male,Percent White Male,Population Percent Male,Prop Female household no Children,Female Household with Children under 6,Prop Female Household with Children under 18,Prop Female Household,Prop Male Household No Children,Prop Male Household with children under 6,Prop Male Household with children under 18,Prop Male Household,Prop Married no children under 18,Prop Married with children under 6,Prop Married with Children under 18,Prop Married-Couple Family,Prop Female Poverty 75+,Prop Female Poverty 65-74,Prop Female Poverty 55-64,Prop Female Poverty 45-54,Prop Female Poverty 35-44,Prop Female Poverty 25-34,Prop Female Poverty 18-24,Prop Female 17 and Under,Prop Female Poverty,Prop Male Poveryy 75+,Prop Male Poverty 65-74,Prop Male Poverty 55-64,Prop Male Poverty 45-54,Prop Male Poverty 35-44,Prop Male Poverty 25-34,Prop Male Poverty 18-24,Prop Male Poverty Under 17,Prop Male Poverty,Prop 3 Earner,Prop 2 Earner,Prop 1 Earner,Prop No Earners,2018 Normalized Per Capital Income Dollars,2018-percent change,Normalize 2018 GDP,Percent Change - 2018,Prop of Paraphernalia Drug Arrests per 100K,Prop Cannabis Arrests Per 100K,Prop Needle/Syringe Arrests per 100K,Prop Controlled Substance Arrests per 100K,Prop of Meth Arrests Per 100K
TRUE,2018,ADAMS,2648.4,3.8,0.896027307,1.013364217,0.013714704,0.387059415,0.169148012,2.01301373,46.623897109,49.263215641,5.735010767,2.034455401,9.582908308,15.317919075,1.620763913,1.02572821,3.740224413,5.360988326,53.128187691,5.740677774,26.192904908,79.321092599,0.587564,0.45185368,0.62149158,0.559805071,0.809635433,1.148911233,0.917586824,1.801246067,6.898093887,0.211276294,0.311516871,0.397877984,0.427179076,0.513540189,0.686262414,0.820430572,1.876812041,5.244895441,9.911594696,44.37266236,29.394763686,16.320979259,-2139.588235294,6.4,4261888.01960784,4.6,133.712184523,53.180982481,3.038913285,110.920334888,350.994484372
FALSE,2018,ALEXANDER,742.9,8,0.811123986,1.059427247,0.082767754,0.099321304,0.281410363,15.262373779,32.378745241,48.170832644,12.710154674,3.160726295,17.08137189,29.791526564,2.084734364,0.336247478,4.236718225,6.321452589,52.92535306,2.757229321,10.961667787,63.887020847,0.559006211,1.133540373,1.552795031,1.739130435,2.391304348,1.630434783,1.770186335,7.267080745,18.043478261,0.170807453,0.450310559,1.304347826,0.822981366,0.931677019,1.677018634,1.459627329,5.357142857,12.173913043,4.77471419,22.932078009,42.972427707,29.320780094,10033.411764706,5.5,7366271.01960784,2.6,0,33.01964669,0,181.608056794,297.176820208
FALSE,2018,BOND,1175.6,4.3,2.524493599,0.823465769,0.018032097,0.546973613,0.396706137,4.628238264,46.312436136,52.004568131,5.590666018,0.923675255,4.545454545,10.136120564,1.531356344,0.607681089,3.087019932,4.618376276,55.858045698,4.399611084,29.387457462,85.24550316,0.554627464,0.467758102,0.601403274,0.681590378,0.895422653,0.748412964,1.81757434,2.091546943,7.858336118,0.167056465,0.09355162,0.835282325,0.821917808,0.407617775,0.841964584,1.53023722,1.931172736,6.628800535,8.920758386,44.871171609,26.56781721,19.640252795,7093.411764706,7.9,6990617.01960784,9,131.280582408,53.705692803,17.901897601,119.345984008,352.070652823
FALSE,2018,BOONE,1005.7,5.6,11.690351533,1.245325355,0.050486163,0.637621541,0.373971578,1.454749439,47.290575916,49.880329095,5.230680921,2.360622803,9.822773911,15.053454832,2.661978905,1.069096649,4.871923656,7.533902562,44.909234412,5.804692545,32.503408194,77.412642606,0.425700239,0.30326433,0.516114449,0.186479308,0.860818625,1.346795005,0.806193373,2.105897644,6.551262973,0.203431973,0.156341238,0.632899471,0.246755448,0.533067114,0.444536533,0.158224868,2.079526832,4.454783477,16.172777499,40.144937935,32.022673459,11.659611107,-2690.588235294,5.4,5839789.01960784,14.2,58.276153774,105.273051979,15.039007426,295.140520726,5.639627785
FALSE,2018,BROWN,210.2,2.6,6.01858906,0.579003504,0,0.213317081,1.234191681,18.650007618,44.27853116,64.528416883,1.632970451,2.021772939,10.419906687,12.052877138,1.477449456,0,0.622083981,2.099533437,53.965785381,10.34214619,31.881804044,85.847589425,0.3122398,0.37468776,0.37468776,0.24979184,0.666111574,0.9367194,0.87427144,2.102414654,5.89092423,0.228975853,0.145711907,0.291423813,1.269775187,0.707743547,0.49958368,0.353871774,0.645295587,4.142381349,4.432348367,51.244167963,27.99377916,16.32970451,9580.411764706,5.1,7143426.01960784,0,225.259047905,150.172698603,15.01726986,120.138158883,135.155428743
FALSE,2018,BUREAU,1327,4.9,4.872720653,0.734245578,0.018204436,0.364088716,0.206316939,0.482417549,47.917109136,49.018477502,4.552160169,2.750263435,9.736564805,14.288724974,2.855637513,1.369863014,4.288724974,7.144362487,53.287671233,4.805057956,25.279241307,78.56691254,0.386276538,0.316320944,0.507938439,0.775594623,0.830342478,1.104081757,0.650891173,2.539692195,7.111138147,0.16120202,0.203783685,0.54443701,0.346736419,0.541395462,0.717805219,0.410608918,2.591398504,5.517367236,10.706006322,41.949420443,30.684931507,16.659641728,815.411764706,4.9,6346281.01960784,0.4,27.392257122,51.740930119,3.043584125,42.610177745,6.087168249
FALSE,2018,CARROLL,1360.3,4.4,2.012016208,0.796423082,0,0.237529691,0.237529691,0.670672069,48.644683527,49.853290485,5.955577252,1.732975348,7.249206737,13.204783988,2.465218453,0.439345863,2.147913107,4.61313156,59.189650964,4.051745179,22.992433488,82.182084452,0.847160961,0.217041238,0.749142337,0.784148988,0.966183575,0.735139677,1.11321151,1.281243436,6.693271722,0.308058531,0.119022614,0.721137016,0.665126374,0.26605055,0.658125044,0.357067843,1.337254078,4.43184205,8.445203808,41.176470588,31.095923847,19.282401757,2347.411764706,-1.5,7083412.01960784,-12.6,76.735263341,27.903732124,48.831531217,62.783397279,230.205790024
TRUE,2018,CASS,1878.4,4.4,10.274528915,0.625406108,0.032488629,0.333008447,0.438596491,2.932098765,46.621182586,50.373619233,7.324276432,3.839338452,11.665682221,18.989958653,4.813939752,1.09273479,3.573538098,8.38747785,46.278795038,6.526875369,26.343768458,72.622563497,0.592284296,0.352169041,0.512245878,1.064510965,0.784376501,1.176564751,1.240595486,2.145029614,7.867776533,0.104049944,0.08804226,0.720345766,0.944453338,0.960461021,0.328157516,0.73635345,1.768849048,5.650712342,11.961015948,42.557590077,32.279976373,13.201417602,2097.411764706,6.1,6908359.01960784,2.6,609.855261018,471.621401854,48.788420881,105.708245243,390.307367052
TRUE,2018,CHAMPAIGN,2586,4.2,3.158852504,1.441038882,0.062881697,5.680789642,0.199125373,6.5468421,37.208814871,49.805638392,6.712119431,2.13001058,10.722934054,17.435053485,3.799224168,1.168449512,3.20441989,7.003644058,45.999764899,8.538850359,29.561537557,75.561302457,0.303907455,0.282752607,0.604719079,0.57530868,0.711525265,1.373001254,5.064780273,1.855950962,10.771945575,0.120737427,0.197617242,0.450443478,0.460246944,0.45095945,1.387964439,5.273748897,1.737277423,10.078995299,8.17209357,47.906429999,32.192312213,11.729164218,-581.588235294,5.2,-2809946.98039216,3.5,39.594514013,90.161001789,9.063804413,145.49791294,2.385211688
FALSE,2018,CHRISTIAN,932.3,5.1,1.029001929,0.59718862,0.018375034,0.263375494,0.125562735,1.365877561,49.049091967,50.852907849,5.949040296,2.491862162,10.450106634,16.39914693,5.017398137,1.01021439,4.130654394,9.148052531,51.116848131,3.636771804,23.335952408,74.452800539,0.518052377,0.664251208,0.963005339,0.92804475,0.553012967,1.064708874,1.001144165,2.237477752,7.929697432,0.276506484,0.254258835,0.870836512,0.715102975,0.562547674,0.476735317,0.584795322,1.29036359,5.031146707,8.75519138,43.495341789,29.644180043,18.105286789,3022.411764706,5,6200496.01960784,0.1,155.887027754,119.207727106,3.056608387,82.528426458,162.000244529
