Year,County,Population,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,HTIS per 100K,Arson per 100K,Percent of Meth Arrests,Percent Needle/Syringe Arrests,Percent Controlled Substance Arrests,HTS Per 100K,Percent of Paraphernalia Drug Arrests,Battery/Assault Per 100K,Sexual Assault Per 100k,Percent Cannabis Arrests,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k
2015,ADAMS,66988,2231.7,4.9,0.724171467,0.76307324,0.891748335,0.921672776,0.011969776,0.008977332,0.489264607,0.378544176,0.109224209,0.137652428,1.789481559,1.910675544,46.534001646,47.699558614,49.008752899,0,10.44963277,21.136767318,0.53285968,11.190053286,0,0.301953819,259.74801457,58.219382576,36.944937833,64.190601302,1409.207619275,409.028482713,13.435242133,7.464023407
2015,ALEXANDER,7492,4017.6,9.1,0.90209997,0.783791778,1.227447501,0.961254067,0.088731145,0.073942621,0.147885241,0.073942621,0.192250813,0.25140491,18.5891748,15.084294587,32.150251405,32.091097308,47.663413191,0,106.780565937,0,0,20.37037037,0,0.148148148,1348.104644955,40.042712226,64.814814815,120.128136679,1588.360918313,774.159103043,40.042712226,0
2015,BOND,17269,781.7,5.3,0.946901594,2.499101043,0.581325662,0.803068441,0.005993048,0.017979144,0.21574973,0.425506413,0.221742778,0.329617644,1.534220304,4.548723481,46.955531583,45.067721443,52.373247033,0,0,9.615384615,10.256410256,27.564102564,0,0.307692308,23.162893045,0,21.794871795,40.535062829,486.420753952,225.838207192,0,5.790723261
2015,BOONE,53869,1.9,6.5,9.990854626,10.812071894,1.026521585,1.127307341,0.041060863,0.055992086,0.765225182,0.630844174,0.35648295,0.335952519,1.205696262,1.271020362,47.550346218,46.710464921,49.894548237,0,1.856355232,,,,0,,0,0,,0,0,0,0,0
2015,BROWN,6832,292.7,3.5,0.503479935,5.893676884,0.236931734,0.503479935,0.029616467,0,0.103657634,0.207315267,0.0444247,1.199466904,0.207315267,18.791648156,44.069302532,34.962239005,64.415815193,0,0,3.846153846,0,11.538461538,0,0.307692308,117.096018735,14.637002342,53.846153846,29.274004684,73.18501171,58.548009368,0,0
2015,BUREAU,33840,1220.4,6.4,4.114538234,4.493744588,0.618076498,0.650921143,0.020901138,0.017915261,0.576274223,0.331432325,0.217969007,0.194081992,0.450867397,0.432952136,48.045743633,49.051984115,49.063927622,0,0,1.807228916,1.807228916,9.638554217,0,0.409638554,91.607565012,50.236406619,45.78313253,17.730496454,721.040189125,325.059101655,11.820330969,2.955082742
2015,CARROLL,14715,1196.1,5.4,1.686928015,1.809862041,0.601010791,0.682966808,0.020489004,0,0.327824068,0.286846059,0.191230706,0.184401038,0.382461412,0.601010791,48.961890452,48.374538997,50.102445021,0,0,15.662650602,4.819277108,8.43373494,0,0.337349398,33.978933062,13.591573225,37.34939759,20.387359837,951.410125722,169.894665308,6.795786612,0
2015,CASS,13156,1170.6,5.6,8.385891147,10.114459238,0.646266449,0.513898622,0.046718057,0.015572686,0.342599081,0.233590283,0.233590283,0.428248852,1.876508604,2.569493109,46.7492019,46.819278985,50.035038542,0,0,12.5,4.605263158,22.368421053,0,0.282894737,471.267862572,0,32.236842105,45.606567346,539.677713591,114.016418364,0,0
2015,CHAMPAIGN,207133,3135.2,5,2.708924358,3.013630589,1.393147453,1.371178038,0.04155085,0.061132285,5.025742423,5.642318824,0.159039459,0.191515985,6.877859606,6.250776093,37.647457757,36.595791424,49.906868785,0,17.862918994,0.38491147,2.540415704,18.70669746,3.862252755,0.245573518,279.530543178,61.313262493,53.810623557,94.625192509,2044.58005243,531.059753878,98.970226859,3.379471161
2015,CHRISTIAN,33892,861.6,6.6,0.570779667,0.989152198,0.478140035,0.502047037,0.020918627,0.017930251,0.34366315,0.245046768,0.113558258,0.101604757,0.248035143,1.329826973,49.212563129,47.843887278,50.951797508,0,8.851646406,8.040201005,0.502512563,15.577889447,0,0.522613065,88.516464062,2.950548802,23.618090452,61.961524844,492.741649947,188.835123333,17.703292812,0
