CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,PERCENT_HISPANIC_FEMALE,PERCENT_WHITE_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_OF_PARAPHERNALIA_DRUG_ARRESTS,PERCENT_NEEDLE_SYRINGE_ARRESTS,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_ASAIN_FEMALE,PERCENT_CANNABIS_ARRESTS,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_MALE,PERCENT_WHITE_FEMALE,PERCENT_CONTROLLED_SUBSTANCE_ARRESTS,PERCENT_TWO_OR_MORE_RACES_MALE,UNEMPLOYMENT_RATE,PERCENT_OF_METH_ARRESTS,PERCENT_NATIVE_HAWAIIN_MALE,POPULATION_PERCENT_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_ASAIN_MALE,PERCENT_BLACK_FEMALE,PERCENT_HISPANIC_MALE,HTS_PER_100K,SEXUAL_ASSAULT_PER_100K,ARSON_PER_100K,MVT_PER_100K,BURGLARY_PER_100K,COUNTY,POPULATION,HOMOCIDES_PER_100K,BATTERY_ASSAULT_PER_100K,HTIS_PER_100K,YEAR,THEFT_PER_100K,ROBBERY_PER_100K
1,2213.21,18.4851,2231.7,0.00724172,0.46534,0.000119698,0.301954,0.53286,0.00109224,0.00489265,36.9449,0.00137652,0.0191068,0.476996,11.1901,0.00921673,4.9,21.1368,8.97733e-05,0.490088,0.00891748,0.00378544,0.0178948,0.00763073,0,58.2194,10.4496,64.1906,409.028,"ADAMS",66988,7.46402,259.748,0,2015,1409.21,13.4352
2,2965.87,1051.73,4017.6,0.009021,0.321503,0.000887311,0.148148,0,0.00192251,0.00147885,64.8148,0.00251405,0.150843,0.320911,20.3704,0.00961254,9.1,0,0.000739426,0.476634,0.0122745,0.000739426,0.185892,0.00783792,0,40.0427,106.781,120.128,774.159,"ALEXANDER",7492,0,1348.1,0,2015,1588.36,40.0427
3,1011.52,-229.818,781.7,0.00946902,0.469555,5.99305e-05,0.307692,10.2564,0.00221743,0.0021575,21.7949,0.00329618,0.0454872,0.450677,27.5641,0.00803068,5.3,9.61538,0.000179791,0.523732,0.00581326,0.00425506,0.0153422,0.024991,0,0,0,40.5351,225.838,"BOND",17269,5.79072,23.1629,0,2015,486.421,0
4,592.699,-590.799,1.9,0.0999085,0.475503,0.000410609,,,0.00356483,0.00765225,,0.00335952,0.0127102,0.467105,,0.0112731,6.5,,0.000559921,0.498945,0.0102652,0.00630844,0.012057,0.108121,0,0,1.85636,0,0,"BOONE",53869,0,0,0,2015,0,0
5,347.994,-55.2943,292.7,0.0050348,0.440693,0.000296165,0.307692,0,0.000444247,0.00103658,53.8462,0.0119947,0.187916,0.349622,11.5385,0.0050348,3.5,3.84615,0,0.644158,0.00236932,0.00207315,0.00207315,0.0589368,0,14.637,0,29.274,58.548,"BROWN",6832,0,117.096,0,2015,73.185,0
6,1301.5,-81.1009,1220.4,0.0411454,0.480457,0.000209011,0.409639,1.80723,0.00217969,0.00576274,45.7831,0.00194082,0.00432952,0.49052,9.63855,0.00650921,6.4,1.80723,0.000179153,0.490639,0.00618077,0.00331432,0.00450867,0.0449374,0,50.2364,0,17.7305,325.059,"BUREAU",33840,2.95508,91.6076,0,2015,721.04,11.8203
7,1202.81,-6.71258,1196.1,0.0168693,0.489619,0.00020489,0.337349,4.81928,0.00191231,0.00327824,37.3494,0.00184401,0.00601011,0.483745,8.43373,0.00682967,5.4,15.6627,0,0.501024,0.00601011,0.00286846,0.00382461,0.0180986,0,13.5916,0,20.3874,169.895,"CARROLL",14715,0,33.9789,0,2015,951.41,6.79579
8,1393,-222.395,1170.6,0.0838589,0.467492,0.000467181,0.282895,4.60526,0.0023359,0.00342599,32.2368,0.00428249,0.0256949,0.468193,22.3684,0.00513899,5.6,12.5,0.000155727,0.50035,0.00646266,0.0023359,0.0187651,0.101145,0,0,0,45.6066,114.016,"CASS",13156,0,471.268,0,2015,539.678,0
9,3163.51,-28.306,3135.2,0.0270892,0.376475,0.000415508,0.245574,2.54042,0.0015904,0.0502574,53.8106,0.00191516,0.0625078,0.365958,18.7067,0.0137118,5,0.384911,0.000611323,0.499069,0.0139315,0.0564232,0.0687786,0.0301363,3.86225,61.3133,17.8629,94.6252,531.06,"CHAMPAIGN",207133,3.37947,279.531,0,2015,2044.58,98.9702
10,910.208,-48.6079,861.6,0.0057078,0.492126,0.000209186,0.522613,0.502513,0.00113558,0.00343663,23.6181,0.00101605,0.0132983,0.478439,15.5779,0.00502047,6.6,8.0402,0.000179303,0.509518,0.0047814,0.00245047,0.00248035,0.00989152,0,2.95055,8.85165,61.9615,188.835,"CHRISTIAN",33892,0,88.5165,0,2015,492.742,17.7033
