geoid,name,Total,Married-Couple Family,Married with Childern under 18,Married with childern under 6,"Married, no childern under 18",Other Family Total,"Male householder, no wife","Male Household, no wife with childern under 18","Male Household, childern under 6","Male Household, no wife or childern","Female household, no husband",Female household no husband with childern under 18,"Female household, no husband with childern under 6","Female household, no husband or \childern"
05000US17001,"Adams County, IL",17646,13997,4622,1013,9375,3649,946,660,181,286,2703,1691,359,1012
05000US17003,"Alexander County, IL",1487,950,163,41,787,537,94,63,5,31,443,254,47,189
05000US17005,"Bond County, IL",4114,3507,1209,181,2298,607,190,127,25,63,417,187,38,230
05000US17007,"Boone County, IL",13937,10789,4530,809,6259,3148,1050,679,149,371,2098,1369,329,729
05000US17009,"Brown County, IL",1286,1104,410,133,694,182,27,8,0,19,155,134,26,21
05000US17011,"Bureau County, IL",9490,7456,2399,456,5057,2034,678,407,130,271,1356,924,261,432
05000US17013,"Calhoun County, IL",1212,1063,350,55,713,149,65,36,6,29,84,44,6,40
05000US17015,"Carroll County, IL",4097,3367,942,166,2425,730,189,88,18,101,541,297,71,244
05000US17017,"Cass County, IL",3386,2459,892,221,1567,927,284,121,37,163,643,395,130,248
05000US17019,"Champaign County, IL",42535,32140,12574,3632,19566,10395,2979,1363,497,1616,7416,4561,906,2855
05000US17021,"Christian County, IL",8909,6633,2079,324,4554,2276,815,368,90,447,1461,931,222,530
05000US17023,"Clark County, IL",4719,3627,1220,309,2407,1092,295,160,79,135,797,468,105,329
05000US17025,"Clay County, IL",3704,2746,813,202,1933,958,382,279,37,103,576,414,160,162
05000US17027,"Clinton County, IL",9418,7524,2968,599,4556,1894,684,410,126,274,1210,649,107,561
05000US17029,"Coles County, IL",12253,8797,3075,606,5722,3456,976,577,224,399,2480,1477,360,1003
05000US17031,"Cook County, IL",1183806,803326,335467,83632,467859,380480,97633,38092,9710,59541,282847,135364,21451,147483
05000US17033,"Crawford County, IL",5086,3988,1433,348,2555,1098,358,161,64,197,740,453,152,287
05000US17035,"Cumberland County, IL",2934,2445,908,205,1537,489,140,63,3,77,349,245,102,104
05000US17039,"De Witt County, IL",4398,3537,1352,337,2185,861,281,132,27,149,580,380,90,200
05000US17037,"DeKalb County, IL",22925,17032,7008,1553,10024,5893,1564,953,198,611,4329,2758,657,1571
05000US17041,"Douglas County, IL",5066,4095,1663,430,2432,971,308,137,79,171,663,466,123,197
05000US17043,"DuPage County, IL",239066,196348,85175,20037,111173,42718,12039,4840,860,7199,30679,15420,2286,15259
05000US17045,"Edgar County, IL",5185,3791,1260,279,2531,1394,387,262,63,125,1007,535,132,472
05000US17047,"Edwards County, IL",1871,1549,524,92,1025,322,62,20,8,42,260,171,82,89
05000US17049,"Effingham County, IL",9009,7193,2676,646,4517,1816,687,480,127,207,1129,610,155,519
05000US17051,"Fayette County, IL",5264,4120,1264,225,2856,1144,447,241,25,206,697,384,108,313
05000US17053,"Ford County, IL",3627,2778,1017,282,1761,849,198,88,29,110,651,475,102,176
05000US17055,"Franklin County, IL",10002,7205,2243,408,4962,2797,736,419,180,317,2061,1161,321,900
05000US17057,"Fulton County, IL",8939,6593,1995,358,4598,2346,839,516,141,323,1507,1026,204,481
05000US17059,"Gallatin County, IL",1578,1101,381,116,720,477,114,29,4,85,363,240,78,123
05000US17061,"Greene County, IL",3322,2555,828,193,1727,767,291,165,46,126,476,254,18,222
05000US17063,"Grundy County, IL",13923,11199,4750,939,6449,2724,797,558,325,239,1927,929,225,998
05000US17065,"Hamilton County, IL",2373,1926,663,112,1263,447,135,95,55,40,312,126,10,186
05000US17067,"Hancock County, IL",5064,4100,1231,231,2869,964,333,155,44,178,631,346,50,285
05000US17069,"Hardin County, IL",907,727,180,22,547,180,73,32,3,41,107,38,8,69
05000US17071,"Henderson County, IL",2002,1640,491,75,1149,362,122,47,14,75,240,155,37,85
05000US17073,"Henry County, IL",13635,11143,4055,692,7088,2492,853,519,113,334,1639,926,233,713
05000US17075,"Iroquois County, IL",7936,6264,2138,332,4126,1672,644,371,180,273,1028,497,115,531
05000US17077,"Jackson County, IL",12477,8874,2756,705,6118,3603,975,447,151,528,2628,1726,502,902
05000US17079,"Jasper County, IL",2458,2123,740,169,1383,335,91,38,5,53,244,156,14,88
05000US17081,"Jefferson County, IL",9816,7235,2399,434,4836,2581,834,493,179,341,1747,1022,373,725
05000US17083,"Jersey County, IL",5921,4936,1852,324,3084,985,234,82,14,152,751,416,71,335
05000US17085,"Jo Daviess County, IL",6223,5314,1513,296,3801,909,288,159,53,129,621,345,67,276
05000US17087,"Johnson County, IL",3058,2469,621,119,1848,589,191,91,50,100,398,221,13,177
05000US17089,"Kane County, IL",131854,102724,47516,9794,55208,29130,8988,4556,1346,4432,20142,11374,1782,8768
05000US17091,"Kankakee County, IL",26471,19413,7119,1174,12294,7058,1775,923,355,852,5283,3156,649,2127
05000US17093,"Kendall County, IL",31947,25248,12975,2373,12273,6699,2453,1007,68,1446,4246,2506,280,1740
05000US17095,"Knox County, IL",11860,8880,2839,566,6041,2980,850,476,121,374,2130,1226,167,904
05000US17097,"Lake County, IL",179569,144351,66577,13005,77774,35218,9815,5008,768,4807,25403,14648,2783,10755
05000US17099,"LaSalle County, IL",29552,21945,7615,1693,14330,7607,2164,1047,396,1117,5443,2951,604,2492
05000US17101,"Lawrence County, IL",4114,3094,1141,330,1953,1020,328,246,126,82,692,329,145,363
05000US17103,"Lee County, IL",8491,6933,2388,571,4545,1558,374,235,73,139,1184,757,235,427
05000US17105,"Livingston County, IL",9483,6887,2377,441,4510,2596,907,546,200,361,1689,967,328,722
05000US17107,"Logan County, IL",6821,5542,2102,484,3440,1279,521,296,115,225,758,399,84,359
05000US17115,"Macon County, IL",26739,18928,6032,1128,12896,7811,1807,880,242,927,6004,3564,852,2440
05000US17117,"Macoupin County, IL",12711,9916,3486,526,6430,2795,825,458,125,367,1970,1029,191,941
05000US17119,"Madison County, IL",69285,51834,19656,4493,32178,17451,4922,2330,495,2592,12529,6743,1488,5786
05000US17121,"Marion County, IL",10170,7243,2299,435,4944,2927,860,400,117,460,2067,1320,406,747
