geoid,name,Total,Male Poverty,Male 17 and Under,Male Povery 18-24,Male Poverty 25-34,Male Povery 35-44,Male Poverty 45-54,Male Povery 55-64,Male Povery 65-74,Male Poverty 137 +,Female Poverty,Female 17 and Under,Female Poverty 18-24,Female Povery 25-34,Female Povery 35-44,Female Povery 45-54,Female Povery 55-64,Female Povery 65-74,Female Poverty 75+
05000US17001,"Adams County, IL",64844,3401,1217,532,445,333,277,258,202,137,4473,1168,595,745,525,363,403,293,381
05000US17003,"Alexander County, IL",6440,784,345,94,108,60,53,84,29,11,1162,468,114,105,154,112,100,73,36
05000US17005,"Bond County, IL",14965,992,289,229,126,61,123,125,14,25,1176,313,272,112,134,102,90,70,83
05000US17007,"Boone County, IL",53089,2365,1104,84,236,283,131,336,83,108,3478,1118,428,715,457,99,274,161,226
05000US17009,"Brown County, IL",4804,199,31,17,24,34,61,14,7,11,283,101,42,45,32,12,18,18,15
05000US17011,"Bureau County, IL",32878,1814,852,135,236,178,114,179,67,53,2338,835,214,363,273,255,167,104,127
05000US17013,"Calhoun County, IL",4690,288,96,16,61,39,19,31,9,17,313,78,12,71,12,13,50,49,28
05000US17015,"Carroll County, IL",14283,633,191,51,94,38,95,103,17,44,956,183,159,105,138,112,107,31,121
05000US17017,"Cass County, IL",12494,706,221,92,41,120,118,90,11,13,983,268,155,147,98,133,64,44,74
05000US17019,"Champaign County, IL",193809,19534,3367,10221,2690,874,892,873,383,234,20877,3597,9816,2661,1379,1115,1172,548,589
05000US17021,"Christian County, IL",31464,1583,406,184,150,177,225,274,80,87,2495,704,315,335,174,292,303,209,163
05000US17023,"Clark County, IL",15551,791,336,96,87,72,100,37,26,37,1169,365,181,237,138,90,57,29,72
05000US17025,"Clay County, IL",13089,870,282,118,128,20,148,103,46,25,1230,312,166,233,90,179,146,64,40
05000US17027,"Clinton County, IL",35500,1371,487,117,164,136,100,239,70,58,1834,430,199,278,222,140,169,171,225
