geoid,name,Total,Income in the past 12 months below poverty level
05000US17001,"Adams County, IL",17646,1454
05000US17003,"Alexander County, IL",1487,341
05000US17005,"Bond County, IL",4114,326
05000US17007,"Boone County, IL",13937,1094
05000US17009,"Brown County, IL",1286,81
05000US17011,"Bureau County, IL",9490,897
05000US17013,"Calhoun County, IL",1212,113
05000US17015,"Carroll County, IL",4097,370
05000US17017,"Cass County, IL",3386,369
05000US17019,"Champaign County, IL",42535,4060
05000US17021,"Christian County, IL",8909,814
05000US17023,"Clark County, IL",4719,469
05000US17025,"Clay County, IL",3704,458
05000US17027,"Clinton County, IL",9418,599
05000US17029,"Coles County, IL",12253,1641
05000US17031,"Cook County, IL",1183806,135236
05000US17033,"Crawford County, IL",5086,459
05000US17035,"Cumberland County, IL",2934,303
05000US17039,"De Witt County, IL",4398,364
05000US17037,"DeKalb County, IL",22925,2173
05000US17041,"Douglas County, IL",5066,564
05000US17043,"DuPage County, IL",239066,11361
05000US17045,"Edgar County, IL",5185,503
05000US17047,"Edwards County, IL",1871,150
05000US17049,"Effingham County, IL",9009,772
05000US17051,"Fayette County, IL",5264,731
05000US17053,"Ford County, IL",3627,444
05000US17055,"Franklin County, IL",10002,1520
05000US17057,"Fulton County, IL",8939,1037
05000US17059,"Gallatin County, IL",1578,228
05000US17061,"Greene County, IL",3322,353
05000US17063,"Grundy County, IL",13923,956
05000US17065,"Hamilton County, IL",2373,131
05000US17067,"Hancock County, IL",5064,386
05000US17069,"Hardin County, IL",907,82
05000US17071,"Henderson County, IL",2002,101
05000US17073,"Henry County, IL",13635,1184
05000US17075,"Iroquois County, IL",7936,795
05000US17077,"Jackson County, IL",12477,1897
05000US17079,"Jasper County, IL",2458,232
05000US17081,"Jefferson County, IL",9816,1387
05000US17083,"Jersey County, IL",5921,356
05000US17085,"Jo Daviess County, IL",6223,348
05000US17087,"Johnson County, IL",3058,235
05000US17089,"Kane County, IL",131854,9653
05000US17091,"Kankakee County, IL",26471,2790
05000US17093,"Kendall County, IL",31947,1113
05000US17095,"Knox County, IL",11860,1332
05000US17097,"Lake County, IL",179569,11160
05000US17099,"LaSalle County, IL",29552,2938
05000US17101,"Lawrence County, IL",4114,570
05000US17103,"Lee County, IL",8491,499
05000US17105,"Livingston County, IL",9483,949
05000US17107,"Logan County, IL",6821,347
05000US17115,"Macon County, IL",26739,3164
05000US17117,"Macoupin County, IL",12711,1181
05000US17119,"Madison County, IL",69285,6925
05000US17121,"Marion County, IL",10170,1421
05000US17123,"Marshall County, IL",3112,277
05000US17125,"Mason County, IL",3823,472
05000US17127,"Massac County, IL",3892,547
05000US17109,"McDonough County, IL",6120,625
05000US17111,"McHenry County, IL",83541,4263
05000US17113,"McLean County, IL",40460,3073
05000US17129,"Menard County, IL",3661,254
05000US17131,"Mercer County, IL",4499,417
05000US17133,"Monroe County, IL",10037,371
05000US17135,"Montgomery County, IL",7370,865
05000US17137,"Morgan County, IL",8556,912
05000US17139,"Moultrie County, IL",3950,242
05000US17141,"Ogle County, IL",14335,934
05000US17143,"Peoria County, IL",44659,5185
05000US17145,"Perry County, IL",5420,643
05000US17147,"Piatt County, IL",4775,167
05000US17149,"Pike County, IL",4232,400
05000US17151,"Pope County, IL",1033,99
05000US17153,"Pulaski County, IL",1317,158
05000US17155,"Putnam County, IL",1651,68
05000US17157,"Randolph County, IL",7734,637
05000US17159,"Richland County, IL",4025,357
05000US17161,"Rock Island County, IL",37533,4306
05000US17165,"Saline County, IL",6668,1214
05000US17167,"Sangamon County, IL",50630,5500
05000US17169,"Schuyler County, IL",1737,115
05000US17171,"Scott County, IL",1354,137
05000US17173,"Shelby County, IL",6282,553
05000US17163,"St. Clair County, IL",65340,7888
05000US17175,"Stark County, IL",1485,159
05000US17177,"Stephenson County, IL",12749,1267
05000US17179,"Tazewell County, IL",36888,2125
05000US17181,"Union County, IL",4679,562
05000US17183,"Vermilion County, IL",19598,2949
05000US17185,"Wabash County, IL",3279,272
05000US17187,"Warren County, IL",4508,405
05000US17189,"Washington County, IL",4038,220
05000US17191,"Wayne County, IL",4522,473
05000US17193,"White County, IL",3913,330
05000US17195,"Whiteside County, IL",15278,1115
05000US17197,"Will County, IL",171789,9201
05000US17199,"Williamson County, IL",17327,1754
05000US17201,"Winnebago County, IL",73716,8566
05000US17203,"Woodford County, IL",10687,604
