CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,YEAR,HYPODERMIC_SYRINGES_AND_NEEDLES_ARRESTS,MOTOR_VEHICLE_THEFT,HUMAN_TRAFFICKING_INVOLUNTARY_SERVITUDE,SEXUAL_ASSAULT,ARSON,TOTAL_DRUG_ARRESTS_PER_100K,BURGLARY,CANNABIS_ARRESTS,TOTAL_DRUG_PARAPHERNALIA,HUMAN_TRAFFICKING_SEX,THEFT,ROBBERY,HOMOCIDES,CONTROLLED_SUBSTANCE_ARRESTS,BATTERY_ASSAULT,TOTAL_METH_ARRESTS,LABOR_FORCE,EMPLOYED,UNEMPLOYMENT_RATE,PERCENT_HISPANIC_FEMALE,PERCENT_HISPANIC_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_TWO_OR_MORE_RACES_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_NATIVE_HAWAIIN_MALE,PERCENT_ASAIN_FEMALE,PERCENT_ASAIN_MALE,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_FEMALE,PERCENT_BLACK_MALE,PERCENT_WHITE_MALE,PERCENT_WHITE_FEMALE,POPULATION_PERCENT_MALE,COUNTY,TOTAL_DRUG_ARRESTS,POPULATION,TOTAL_INDEX_CRIMES_REPORTED,UNEMPLOYED,YEAR_,TOT_POP
1,2221.23,10.4686,2231.7,2015,3,43,0,39,7,840.4,274,208,170,0,944,9,5,63,174,119,32540,30931,4.9,0.00724172,0.00763073,0.00891748,0.00921673,0.000119698,8.97733e-05,0.00489265,0.00378544,0.00109224,0.00137652,0.0178948,0.0191068,0.46534,0.476996,0.490088,"ADAMS",563,66988,1495,1609,2015,66835
2,1970.19,2047.41,4017.6,2015,0,9,0,3,8,720.8,58,35,8,0,119,3,0,11,101,0,2293,2084,9.1,0.009021,0.00783792,0.0122745,0.00961254,0.000887311,0.000739426,0.00147885,0.000739426,0.00192251,0.00251405,0.185892,0.150843,0.321503,0.320911,0.476634,"ALEXANDER",54,7492,301,209,2015,6762
3,1221.17,-439.467,781.7,2015,16,7,0,0,0,903.4,39,34,48,0,84,0,1,43,4,15,7785,7375,5.3,0.00946902,0.024991,0.00581326,0.00803068,5.99305e-05,0.000179791,0.0021575,0.00425506,0.00221743,0.00329618,0.0153422,0.0454872,0.469555,0.450677,0.523732,"BOND",156,17269,135,410,2015,16686
4,1086.07,-1084.17,1.9,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26308,24600,6.5,0.0999085,0.108121,0.0102652,0.0112731,0.000410609,0.000559921,0.00765225,0.00630844,0.00356483,0.00335952,0.012057,0.0127102,0.475503,0.467105,0.498945,"BOONE",0,53869,1,1708,2015,53579
5,322.245,-29.5445,292.7,2015,0,2,0,1,0,380.6,4,14,8,0,5,0,0,3,8,1,2779,2681,3.5,0.0050348,0.0589368,0.00236932,0.0050348,0.000296165,0,0.00103658,0.00207315,0.000444247,0.0119947,0.00207315,0.187916,0.440693,0.349622,0.644158,"BROWN",26,6832,20,98,2015,6753
6,1174.43,45.9668,1220.4,2015,3,6,0,17,0,490.5,110,76,68,0,244,4,1,16,31,3,17118,16024,6.4,0.0411454,0.0449374,0.00618077,0.00650921,0.000209011,0.000179153,0.00576274,0.00331432,0.00217969,0.00194082,0.00450867,0.00432952,0.480457,0.49052,0.490639,"BUREAU",166,33840,413,1094,2015,33491
7,1156.15,39.9546,1196.1,2015,4,3,0,2,0,564.1,25,31,28,0,140,1,0,7,5,13,7940,7509,5.4,0.0168693,0.0180986,0.00601011,0.00682967,0.00020489,0,0.00327824,0.00286846,0.00191231,0.00184401,0.00382461,0.00601011,0.489619,0.483745,0.501024,"CARROLL",83,14715,176,431,2015,14642
8,1496.81,-326.212,1170.6,2015,7,6,0,0,0,1155.4,15,49,43,0,71,0,0,34,62,19,6430,6068,5.6,0.0838589,0.101145,0.00646266,0.00513899,0.000467181,0.000155727,0.00342599,0.0023359,0.0023359,0.00428249,0.0187651,0.0256949,0.467492,0.468193,0.50035,"CASS",152,13156,154,362,2015,12843
9,3237.04,-101.836,3135.2,2015,33,196,0,127,37,627.1,1100,699,319,8,4235,205,7,243,579,5,107281,101892,5,0.0270892,0.0301363,0.0139315,0.0137118,0.000415508,0.000611323,0.0502574,0.0564232,0.0015904,0.00191516,0.0687786,0.0625078,0.376475,0.365958,0.499069,"CHAMPAIGN",1299,207133,6494,5389,2015,209382
10,929.435,-67.8353,861.6,2015,1,21,0,1,3,587.2,64,47,104,0,167,6,0,31,30,16,15407,14394,6.6,0.0057078,0.00989152,0.0047814,0.00502047,0.000209186,0.000179303,0.00343663,0.00245047,0.00113558,0.00101605,0.00248035,0.0132983,0.492126,0.478439,0.509518,"CHRISTIAN",199,33892,292,1013,2015,33463
11,903.581,-266.981,636.6,2015,0,6,0,1,2,475.9,27,23,36,0,61,0,0,6,6,12,8085,7585,6.2,0.00749937,0.00894883,0.00447441,0.00478951,0.00012604,0.00012604,0.00258382,0.000819259,0.00119738,0.00107134,0.00195362,0.00239476,0.486325,0.498488,0.491177,"CLARK",77,16180,103,500,2015,15868
12,1193.67,219.028,1412.7,2015,0,2,0,0,1,621.3,27,26,28,0,150,0,0,9,11,21,6621,6155,7,0.0059697,0.00776062,0.0045519,0.00507425,0,0,0.00514887,0.00268637,0.00141781,0.000970077,0.00216402,0.00268637,0.488546,0.491605,0.495112,"CLAY",84,13520,191,466,2015,13401
13,734.408,58.8916,793.3,2015,1,13,0,5,10,206.3,44,45,31,0,319,2,0,22,30,11,20090,19190,4.5,0.0114961,0.0187707,0.00565512,0.00546927,0.000265498,0.000371698,0.00353113,0.00185849,0.00151334,0.00215054,0.00525687,0.0309571,0.483287,0.464808,0.51897,"CLINTON",110,53320,423,900,2015,37665
14,1485.62,24.1773,1509.8,2015,2,13,0,33,10,457.6,146,71,67,0,463,14,1,45,125,59,24099,22648,6,0.0117097,0.0119205,0.00835585,0.00774258,0.000172483,0.00095824,0.00611357,0.00559612,0.00137987,0.00126488,0.0192415,0.0192223,0.458518,0.478564,0.486173,"COLES",244,53320,805,1451,2015,52179
15,3625.36,-697.556,2927.8,2015,218,12547,5,1911,1012,873.3,20550,23318,5211,24,90675,11217,534,16987,15129,83,2.64618e+06,2.4811e+06,6.2,0.122359,0.12696,0.00949698,0.00917109,0.000359643,0.000382335,0.0381698,0.0352117,0.00358632,0.00381687,0.132655,0.110639,0.333689,0.330819,0.484914,"COOK",45817,5.24646e+06,153604,165084,2015,5.24409e+06
16,968.59,485.51,1454.1,2015,1,14,0,2,4,644.6,55,32,61,0,167,0,0,21,40,10,9636,9069,5.9,0.00753051,0.0144897,0.00488185,0.00503765,0.000155804,0.000311607,0.00353155,0.00228512,0.00155804,0.00202545,0.00321994,0.0459102,0.468294,0.467411,0.519242,"CRAWFORD",125,19393,282,567,2015,19255
17,577.193,-189.493,387.7,2015,0,4,0,0,0,120,10,6,5,0,19,0,0,1,9,1,5910,5600,5.2,0.00561694,0.00469613,0.00460405,0.00497238,0.000460405,0.000184162,0.0038674,0.00202578,0.00092081,0.000828729,0.00267035,0.00313075,0.494015,0.486648,0.500829,"CUMBERLAND",13,10833,42,310,2015,10860
18,1848.27,212.227,2060.5,2015,22,41,0,71,17,1484.9,223,726,536,0,1595,35,1,272,190,10,54770,51734,5.5,0.0526993,0.054302,0.00961658,0.00913672,0.000345506,0.000355103,0.013897,0.0134651,0.0018331,0.00226498,0.040309,0.0333125,0.446432,0.437478,0.496521,"DEKALB",1566,105462,2173,3036,2015,104195
19,967.06,-97.2603,869.8,2015,2,9,0,1,0,573.2,31,21,73,0,85,1,0,18,46,0,10158,9665,4.9,0.0334258,0.0385682,0.00564658,0.00544492,0,5.04159e-05,0.00302496,0.00337787,0.0012604,0.00196622,0.00307537,0.00357953,0.485455,0.492312,0.494681,"DOUGLAS",114,19889,173,493,2015,19835
20,615.08,729.82,1344.9,2015,49,338,3,159,62,648.1,1322,3227,2045,3,9983,222,4,707,448,17,511538,487123,4.8,0.0683884,0.0717924,0.00932939,0.00959395,0.000257067,0.000258138,0.0600551,0.0567261,0.00197192,0.00193336,0.0272769,0.0237765,0.40722,0.41045,0.490659,"DUPAGE",6045,932708,12544,24415,2015,933609
21,1667.26,70.3377,1737.6,2015,5,21,0,3,3,1502.2,109,43,108,0,143,2,0,45,29,67,9435,8849,6.2,0.00590808,0.00488553,0.00374936,0.00420383,5.68085e-05,0.000170425,0.00181787,0.00102255,0.00102255,0.00107936,0.00227234,0.00306766,0.481736,0.503778,0.487303,"EDGAR",268,17841,310,586,2015,17603
22,731.699,-384.099,347.6,2015,0,0,0,0,0,30.2,9,2,0,0,10,0,0,0,4,0,2946,2771,5.9,0.00476117,0.00767931,0.00552911,0.00537552,0,0,0.00199662,0.00122869,0.00122869,0.00122869,0.00307172,0.00322531,0.486408,0.495162,0.493012,"EDWARDS",2,6617,23,175,2015,6511
23,1134.62,899.182,2033.8,2015,0,24,0,7,5,970.3,118,112,152,0,501,3,0,42,40,27,18425,17547,4.8,0.00888837,0.0102918,0.00409333,0.0039179,0.000233904,5.84761e-05,0.00286533,0.00336238,0.00128647,0.00128647,0.00190047,0.00289457,0.490351,0.491346,0.498275,"EFFINGHAM",333,34320,698,878,2015,34202
24,1036.37,70.1282,1106.5,2015,3,5,0,9,0,535,34,29,46,0,187,0,0,27,7,12,9704,9071,6.5,0.00549102,0.011572,0.00549102,0.00630786,0.000136141,9.07606e-05,0.00181521,0.00140679,0.00104375,0.00131603,0.00172445,0.048693,0.479125,0.458613,0.531176,"FAYETTE",117,21870,242,633,2015,22036
25,1670.9,184.701,1855.6,2015,2,5,0,8,2,1227.4,63,56,78,0,133,3,0,20,40,12,6654,6304,5.3,0.0136004,0.0159657,0.00613497,0.00569148,0.000221746,7.39153e-05,0.00258704,0.00199571,0.00103481,0.00221746,0.00303053,0.00650455,0.481632,0.494124,0.492867,"FORD",168,13688,254,350,2015,13529
26,1342.9,-64.1021,1278.8,2015,2,22,0,4,3,606.4,142,51,106,0,291,2,0,54,40,26,16494,15168,8,0.00771907,0.00863317,0.00591626,0.00611939,0.000101567,2.53917e-05,0.00266613,0.00167585,0.00238682,0.00172663,0.00233603,0.00284387,0.486073,0.493919,0.492675,"FRANKLIN",239,39411,504,1326,2015,39383
27,1035.32,189.483,1224.8,2015,0,19,0,9,5,608.2,76,76,97,0,297,4,1,40,30,6,15792,14595,7.6,0.00641223,0.0223728,0.00476017,0.00509618,0,0.000168006,0.00148405,0.00156806,0.00154006,0.00481617,0.0028561,0.0355613,0.477893,0.468709,0.520651,"FULTON",219,36007,441,1197,2015,35713
28,1366.33,-100.026,1266.3,2015,2,2,0,1,1,359.1,19,8,6,0,39,0,0,2,5,1,2467,2303,6.6,0.0072783,0.0107259,0.00823597,0.00555449,0,0,0.000574603,0.000383068,0.00134074,0.00210688,0.00229841,0.00363915,0.477112,0.504118,0.483432,"GALLATIN",19,5291,67,164,2015,5221
29,993.682,160.118,1153.8,2015,12,2,0,7,0,818.8,49,23,40,0,76,0,0,18,21,17,6050,5681,6.1,0.00472087,0.00689397,0.00344698,0.00412139,7.49344e-05,7.49344e-05,0.00104908,0.00104908,0.00112402,0.00112402,0.00202323,0.0100412,0.490821,0.488797,0.503484,"GREENE",110,13434,155,369,2015,13345
30,1361.85,-205.651,1156.2,2015,29,8,0,14,11,1235.5,109,229,261,1,413,6,0,98,21,6,25461,23689,7,0.0444771,0.0484483,0.0059369,0.00623474,0.000258126,0.000119135,0.00434843,0.00357405,0.00150904,0.00178703,0.00730695,0.00742609,0.485138,0.482279,0.498362,"GRUNDY",623,50425,583,1772,2015,50363
31,752.317,31.1825,783.5,2015,0,8,0,0,2,36.2,18,1,0,0,35,0,0,1,2,1,4379,4140,5.5,0.0078807,0.00872939,0.00630456,0.00400097,0,0.000121242,0.00218235,0.000969932,0.00206111,0.00206111,0.00157614,0.00412221,0.479995,0.500364,0.487512,"HAMILTON",3,8296,65,239,2015,8248
32,628.567,-305.067,323.5,2015,0,7,0,3,0,80.9,18,4,9,0,28,0,0,0,4,2,8917,8369,6.1,0.00702679,0.00752086,0.00592885,0.00581906,0.000658762,0.000384278,0.00203118,0.0016469,0.0017567,0.00120773,0.00192139,0.00285463,0.489679,0.491711,0.495993,"HANCOCK",15,18546,60,548,2015,18216
33,558.783,337.317,896.1,2015,0,3,0,1,0,72.7,6,0,0,0,21,0,0,1,6,2,1529,1400,8.4,0.00958938,0.00762233,0.00540939,0.00491763,0.000737644,0.000491763,0.00245882,0.00221293,0.00417998,0.0027047,0.00245882,0.00295058,0.493976,0.482174,0.502582,"HARDIN",3,4129,37,129,2015,4067
