,Total.Index.Crime.Rates.per.100K,Unemployment.Rate,Percent.Hispanic.Male,Percent.Two.or.More.Races.Male,Percent.Native.Hawaiin.Male,Percent.Asain.Male,Percent.American.Indian.Male,Percent.Black.Male,Percent.White.Male,Population.Percent.Male,Percent.of.Meth.Arrests,Percent.Needle.Syringe.Arrests,Percent.Controlled.Substance.Arrests,Percent.of.Paraphernalia.Drug.Arrests,Percent.Cannabis.Arrests,Prop.Female.household.no.Children,Female.Household.with.Children.under.6,Prop.Female.Household.with.Children.under.18,Prop.Female.Household,Prop.Male.Household.No.Children,Prop.Male.Household.with.children.under.6,Prop.Male.Household.with.children.under.18,Prop.Male.Household,Prop.Married.no.children.under.18,Prop.Married.with.children.under.6,Prop.Married.with.Children.under.18,Prop.Married.Couple.Family,Prop.Female.Poverty.75.,Prop.Female.Poverty.65.74,Prop.Female.Poverty.55.64,Prop.Female.Poverty.45.54,Prop.Female.Poverty.35.44,Prop.Female.Poverty.25.34,Prop.Female.Poverty.18.24,Prop.Female.17.and.Under,Prop.Female.Poverty,Prop.Male.Poveryy.75.,Prop.Male.Poverty.65.74,Prop.Male.Poverty.55.64,Prop.Male.Poverty.45.54,Prop.Male.Poverty.35.44,Prop.Male.Poverty.25.34,Prop.Male.Poverty.18.24,Prop.Male.Poverty.Under.17,Prop.Male.Poverty,Prop.3.Earner,Prop.2.Earner,Prop.1.Earner,Prop.No.Earners,X2018.Normalized.Per.Capital.Income.Dollars,X2018.percent.change,Normalize.2018.GDP,Percent.Change...2018
Total.Index.Crime.Rates.per.100K,1,0.167915629,0.069751115,0.673914526,0.085602536,0.254070981,-0.021791379,0.286601998,-0.528838144,-0.335946555,0.016770254,-0.130605664,0.252137407,-0.190889019,-0.028964872,0.464953453,0.376892007,0.541976586,0.591622523,0.313300826,0.118969023,0.169382701,0.312041893,-0.435056856,-0.086666599,-0.17232424,-0.580147833,0.032579668,0.21768174,0.303965822,0.249003563,0.261281985,0.456649662,0.245675824,0.324870763,0.42184999,-0.125031218,0.043967767,0.146918059,0.029194716,0.104968406,0.404944685,0.281601568,0.472174347,0.384690228,-0.164946799,-0.236901315,0.364213038,0.065512553,0.027351806,-0.06903864,-0.205480627,-0.001121888
Unemployment.Rate,0.167915629,1,-0.159506464,0.111851307,0.112824734,-0.251406394,-0.051004632,0.119234813,-0.088613222,-0.087202257,0.21188852,0.045173567,-0.039228526,-0.063285315,-0.252993334,0.371745895,0.190234864,0.300579343,0.382866661,0.215759804,0.238146867,0.270247031,0.332715674,0.136727356,-0.571911121,-0.570738487,-0.417958018,0.076471266,0.511760335,0.561526057,0.623168935,0.547253169,0.505796202,0.063700567,0.606823158,0.610097593,0.250018396,0.404078688,0.321842233,0.124812332,0.234865983,0.283347609,0.023646463,0.560280321,0.411012576,-0.365613831,-0.824491311,0.501970997,0.724948418,0.45490082,-0.23503855,0.134278933,-0.162245156
Percent.Hispanic.Male,0.069751115,-0.159506464,1,0.357064383,0.228497716,0.529953993,0.496970301,0.244735831,-0.366004531,0.058783306,-0.507918907,-0.049958079,0.356972659,-0.008427479,0.392305986,0.110570285,-0.092680849,0.070888441,0.101299919,0.217301002,-0.076958159,-0.043427142,0.092641667,-0.566471271,0.29136455,0.445748041,-0.112085155,-0.273606203,-0.190196804,-0.368421065,-0.229329196,-0.117081473,-0.171702821,-0.060760894,-0.133500296,-0.230443745,-0.22409969,-0.298396966,-0.254187225,-0.175981429,-0.112962232,-0.179375663,-0.052604484,-0.093798728,-0.212577654,0.574483901,0.19950694,-0.107357085,-0.538336468,-0.377730404,-0.120390847,-0.455541334,-0.050315269
Percent.Two.or.More.Races.Male,0.673914526,0.111851307,0.357064383,1,0.320421982,0.497094426,0.123002225,0.496938202,-0.763653252,-0.266553679,-0.28841556,-0.044718092,0.459837576,-0.196794052,0.117393762,0.382600247,0.261489235,0.550745866,0.558038097,0.193464501,0.016273014,0.111655581,0.197956097,-0.517185722,-0.017857767,-0.023333084,-0.515780735,-0.155965612,0.086740187,0.06936977,0.076193645,0.200127976,0.298133268,0.388453417,0.259956299,0.342520046,-0.307752686,-0.164489807,-0.04569334,-0.208834243,-0.015582887,0.369968136,0.39532563,0.391213755,0.26683152,0.040356956,-0.124624363,0.31783761,-0.164589695,-0.087418395,-0.190295751,-0.156552642,-0.004073785
Percent.Native.Hawaiin.Male,0.085602536,0.112824734,0.228497716,0.320421982,1,0.294663072,0.039889867,0.258958027,-0.403464544,-0.125724542,-0.006818313,-0.162919463,0.228090676,-0.038166587,-0.088467928,0.339455446,-0.010365277,0.237051842,0.324189234,0.23968203,-0.15713854,-0.018585855,0.124702722,-0.254457545,-0.112710435,-0.062509582,-0.30279745,-0.100535889,0.185361525,0.217884102,0.14980262,0.124129067,0.053454577,0.307110586,0.221208839,0.284553972,-0.14354794,-0.063209674,-0.077803836,-0.212251709,-0.007157569,0.225223722,0.301001787,0.117684997,0.119545434,0.015756701,-0.155145209,0.259911481,-0.0649048,0.007741294,-0.090243373,-0.109647292,-0.006537706
Percent.Asain.Male,0.254070981,-0.251406394,0.529953993,0.497094426,0.294663072,1,0.132708616,0.244356354,-0.598659563,-0.145126051,-0.398319692,-0.11029045,0.393394519,-0.05663793,0.282306701,0.158079189,-0.094750731,0.076377946,0.127862343,0.142875561,-0.201197082,-0.149577942,-0.032060336,-0.491995074,0.406343092,0.391687422,-0.092983196,-0.278521434,-0.164190589,-0.207521162,-0.190809769,-0.132060073,-0.085174003,0.326402323,-0.143258168,-0.040162594,-0.255208478,-0.202993358,-0.200696478,-0.182812156,-0.142970388,0.098974449,0.387816075,-0.119286522,0.00102292,0.339170951,0.268912179,-0.073669931,-0.471594074,-0.523080662,-0.038782198,-0.507813212,-0.01340513
Percent.American.Indian.Male,-0.021791379,-0.051004632,0.496970301,0.123002225,0.039889867,0.132708616,1,0.507321895,-0.217527956,0.600656355,-0.103091978,-0.123156704,0.056703672,0.114852131,0.078330009,-0.069724079,0.003647342,0.13551609,0.058555331,0.033838048,-0.161808587,-0.194273054,-0.129621403,-0.154764008,0.220609026,0.148267813,-0.005173476,-0.124524948,0.094310609,-0.129248231,-0.047427865,0.129470573,-0.000376655,-0.004525079,0.060994485,0.015489638,-0.106456079,-0.154475443,-0.113860808,0.037801354,0.079061216,-0.041889804,-0.027050945,-0.039103613,-0.044385668,-0.066583008,0.083624212,0.003314079,-0.044639331,0.081654494,-0.081271945,-0.14607281,-0.051881828
Percent.Black.Male,0.286601998,0.119234813,0.244735831,0.496938202,0.258958027,0.244356354,0.507321895,1,-0.780092811,0.447139982,-0.160688083,-0.125637294,0.286093263,-0.077550384,0.085032385,0.417682602,0.183616764,0.471931228,0.521354837,0.08332336,-0.008613578,0.039622732,0.078753961,-0.310138956,0.086360925,-0.15763542,-0.447314364,-0.109265945,0.219969567,0.129522188,0.148004537,0.276798836,0.277461668,0.226220507,0.40581153,0.369837318,-0.133960472,-0.060019106,0.072497397,0.035509522,0.217252692,0.316868758,0.237959276,0.30266724,0.29250902,-0.230321962,-0.180778694,0.327861623,0.082748818,0.205290043,-0.009494592,-0.25044535,0.006708411
Percent.White.Male,-0.528838144,-0.088613222,-0.366004531,-0.763653252,-0.403464544,-0.598659563,-0.217527956,-0.780092811,1,0.156713856,0.262834956,0.172612534,-0.478165674,0.199274745,-0.173195763,-0.554811678,-0.208111756,-0.564382377,-0.650068038,-0.192128806,0.09576219,-0.012548596,-0.121046599,0.553653438,-0.100664475,0.038545358,0.565185081,0.168911025,-0.131931478,-0.116663245,-0.115270509,-0.26696026,-0.263213946,-0.360919655,-0.378128655,-0.391553331,0.253493634,0.097405345,0.0077896,0.108996291,-0.081852171,-0.372841659,-0.378868708,-0.362718876,-0.302106559,0.005340692,0.151982193,-0.339130945,0.120227468,0.12656998,0.048450782,0.444682821,-0.006916558
Population.Percent.Male,-0.335946555,-0.087202257,0.058783306,-0.266553679,-0.125724542,-0.145126051,0.600656355,0.447139982,0.156713856,1,-0.006725496,0.035914075,-0.170812983,0.203269789,-0.022536596,-0.212286723,-0.111575009,-0.165647152,-0.214561294,-0.127821587,0.043310259,-0.044655401,-0.108422579,0.209080974,0.183220156,0.009762164,0.20882946,-0.032311306,0.058698364,-0.101679878,-0.054918407,-0.068500018,-0.045505815,-0.096885439,-0.059793587,-0.094236915,0.090199154,-0.039233227,0.025768754,0.162502954,0.151566721,-0.084011213,-0.079979506,-0.201069996,-0.049437802,-0.212869971,0.108320865,-0.089982605,0.113533435,0.313537583,0.043557909,0.107474605,-0.011702685
