,Total.Index.Crime.Rates.per.100K,Unemployment.Rate,Percent.Hispanic.Female,Percent.Hispanic.Male,Percent.Two.or.More.Races.Female,Percent.Two.or.More.Races.Male,Percent.Native.Hawaiin.Female,Percent.Native.Hawaiin.Male,Percent.Asain.Female,Percent.Asain.Male,Percent.American.Indian.Female,Percent.American.Indian.Male,Percent.Black.Female,Percent.Black.Male,Percent.White.Male,Percent.White.Female,Population.Percent.Male,HTIS.per.100K,Arson.per.100K,Percent.of.Meth.Arrests,Percent.Needle.Syringe.Arrests,Percent.Controlled.Substance.Arrests,HTS.Per.100K,Percent.of.Paraphernalia.Drug.Arrests,Battery.Assault.Per.100K,Sexual.Assault.Per.100k,Percent.Cannabis.Arrests,MVT.Per.100K,Theft.per.100K,Burglary.per.100K,Robbery.Per.100K,Homocides.Per.100k,Prop.Female.household.no.Children,Female.Household.with.Children.under.6,Prop.Female.Household.with.Children.under.18,Prop.Female.Household,Prop.Male.Household.No.Children,Prop.Male.Household.with.children.under.6,Prop.Male.Household.with.children.under.18,Prop.Male.Household,Prop.Other.Family.Type..Not.Married.,Prop.Married.no.children.under.18,Prop.Married.with.children.under.6,Prop.Married.with.Children.under.18,Prop.Married.Couple.Family,Prop.Female.Poverty.75.,Prop.Female.Poverty.65.74,Prop.Female.Poverty.55.64,Prop.Female.Poverty.45.54,Prop.Female.Poverty.35.44,Prop.Female.Poverty.25.34,Prop.Female.Poverty.18.24,Prop.Female.17.and.Under,Prop.Female.Poverty,Prop.Male.Poveryy.75.,Prop.Male.Poverty.65.74,Prop.Male.Poverty.55.64,Prop.Male.Poverty.45.54,Prop.Male.Poverty.35.44,Prop.Male.Poverty.25.34,Prop.Male.Poverty.18.24,Prop.Male.Poverty.Under.17,Prop.Male.Poverty,Prop.3.Earner,Prop.2.Earner,Prop.1.Earner,Prop.No.Earners,X2018.Normalized.Per.Capital.Income.Dollars,X2018.percent.change,X2018.rank.percent..change,Normalize.2018.GDP,Percent.Change...2018,Rank.in.State.for.Percent.Change...2018
Total.Index.Crime.Rates.per.100K,1,0.167915629,0.117796587,0.069751115,0.692971722,0.673914526,-0.125498908,0.085602536,0.239609283,0.254070981,0.201952533,-0.021791379,0.526018692,0.286601998,-0.528838144,-0.377099753,-0.335946555,0.03862581,0.586431112,0.016770254,-0.130605664,0.252137407,0.094386726,-0.190889019,0.776912647,0.606855381,-0.028964872,0.801715636,0.972543814,0.885414884,0.747061128,0.438246456,0.464953453,0.376892007,0.541976586,0.591622523,0.313300826,0.118969023,0.169382701,0.312041893,0.580147833,-0.435056856,-0.086666599,-0.17232424,-0.580147833,0.032579668,0.21768174,0.303965822,0.249003563,0.261281985,0.456649662,0.245675824,0.324870763,0.42184999,-0.125031218,0.043967767,0.146918059,0.029194716,0.104968406,0.404944685,0.281601568,0.472174347,0.384690228,-0.164946799,-0.236901315,0.364213038,0.065512553,0.027351806,-0.06903864,0.059753544,-0.205480627,-0.001121888,-0.077866326
Unemployment.Rate,0.167915629,1,-0.136607837,-0.159506464,0.196467813,0.111851307,0.070562079,0.112824734,-0.258576461,-0.251406394,0.259063015,-0.051004632,0.170477165,0.119234813,-0.088613222,-0.049655335,-0.087202257,-0.07603698,0.161780806,0.21188852,0.045173567,-0.039228526,0.005994532,-0.063285315,0.181729596,0.029276248,-0.252993334,0.229002373,0.111641708,0.265111162,0.039289266,0.097169708,0.371745895,0.190234864,0.300579343,0.382866661,0.215759804,0.238146867,0.270247031,0.332715674,0.417958018,0.136727356,-0.571911121,-0.570738487,-0.417958018,0.076471266,0.511760335,0.561526057,0.623168935,0.547253169,0.505796202,0.063700567,0.606823158,0.610097593,0.250018396,0.404078688,0.321842233,0.124812332,0.234865983,0.283347609,0.023646463,0.560280321,0.411012576,-0.365613831,-0.824491311,0.501970997,0.724948418,0.45490082,-0.23503855,0.250758248,0.134278933,-0.162245156,0.180914168
Percent.Hispanic.Female,0.117796587,-0.136607837,1,0.973787755,0.358727173,0.382948388,0.101991446,0.24969533,0.593683666,0.559650156,0.680662061,0.334927349,0.300878341,0.125692392,-0.373196801,-0.364355081,-0.150385276,-0.036194219,-0.049773136,-0.499762292,-0.038977177,0.381018729,0.032258842,-0.063550964,0.055832295,0.045831988,0.397863685,0.173932172,0.174375861,-0.10837604,0.353610116,0.170242275,0.147341953,-0.095388683,0.069550183,0.118063415,0.240584982,-0.09353209,-0.035352591,0.112345926,0.132056877,-0.579519346,0.240624678,0.437916634,-0.132056877,-0.277834506,-0.206854629,-0.343131466,-0.214841431,-0.12138506,-0.176305044,-0.048409286,-0.134203411,-0.223973886,-0.213862145,-0.263776693,-0.245829263,-0.207382087,-0.156267589,-0.17198234,-0.03588909,-0.074633061,-0.207683095,0.632188759,0.173273501,-0.113465999,-0.546621742,-0.454618715,-0.135256652,0.157971185,-0.476546168,-0.053509205,0.0688522
Percent.Hispanic.Male,0.069751115,-0.159506464,0.973787755,1,0.307804944,0.357064383,0.086008859,0.228497716,0.553704466,0.529953993,0.642628546,0.496970301,0.260788894,0.244735831,-0.366004531,-0.424436698,0.058783306,-0.030557963,-0.079614098,-0.507918907,-0.049958079,0.356972659,0.043924971,-0.008427479,0.034041938,-0.000810549,0.392305986,0.128397405,0.125330824,-0.150244409,0.315701102,0.13971965,0.110570285,-0.092680849,0.070888441,0.101299919,0.217301002,-0.076958159,-0.043427142,0.092641667,0.112085155,-0.566471271,0.29136455,0.445748041,-0.112085155,-0.273606203,-0.190196804,-0.368421065,-0.229329196,-0.117081473,-0.171702821,-0.060760894,-0.133500296,-0.230443745,-0.22409969,-0.298396966,-0.254187225,-0.175981429,-0.112962232,-0.179375663,-0.052604484,-0.093798728,-0.212577654,0.574483901,0.19950694,-0.107357085,-0.538336468,-0.377730404,-0.120390847,0.143636267,-0.455541334,-0.050315269,0.073320884
Percent.Two.or.More.Races.Female,0.692971722,0.196467813,0.358727173,0.307804944,1,0.941702059,0.02203964,0.371698515,0.458073909,0.476513677,0.39616832,0.061682588,0.720035801,0.444574892,-0.758269358,-0.609608802,-0.359833036,0.095241711,0.401339925,-0.257777953,-0.063452056,0.422332055,0.169510803,-0.16508752,0.474433639,0.384419428,0.100479301,0.61647075,0.709052799,0.5374078,0.612289951,0.429134154,0.436328386,0.319704022,0.592106193,0.611958957,0.285335437,-0.004239172,0.067292395,0.217147571,0.565639214,-0.505586224,-0.043528506,-0.08673989,-0.565639214,-0.117073323,0.117630323,0.119151665,0.123382391,0.248616504,0.364007663,0.415147241,0.333120216,0.415583432,-0.264611381,-0.065651208,-0.027417966,-0.160982778,0.042421793,0.405140537,0.416533733,0.406367986,0.317773234,7.28E-05,-0.201276691,0.376360623,-0.102697279,-0.071944988,-0.250848062,0.261669033,-0.15541087,-0.070043077,0.017524705
Percent.Two.or.More.Races.Male,0.673914526,0.111851307,0.382948388,0.357064383,0.941702059,1,0.018109444,0.320421982,0.472409064,0.497094426,0.36199232,0.123002225,0.708920914,0.496938202,-0.763653252,-0.647169859,-0.266553679,0.089987326,0.372169421,-0.28841556,-0.044718092,0.459837576,0.174991435,-0.196794052,0.454351862,0.395717218,0.117393762,0.623141851,0.695711616,0.493976656,0.622833984,0.45751407,0.382600247,0.261489235,0.550745866,0.558038097,0.193464501,0.016273014,0.111655581,0.197956097,0.515780735,-0.517185722,-0.017857767,-0.023333084,-0.515780735,-0.155965612,0.086740187,0.06936977,0.076193645,0.200127976,0.298133268,0.388453417,0.259956299,0.342520046,-0.307752686,-0.164489807,-0.04569334,-0.208834243,-0.015582887,0.369968136,0.39532563,0.391213755,0.26683152,0.040356956,-0.124624363,0.31783761,-0.164589695,-0.087418395,-0.190295751,0.205799845,-0.156552642,-0.004073785,-0.02974831
Percent.Native.Hawaiin.Female,-0.125498908,0.070562079,0.101991446,0.086008859,0.02203964,0.018109444,1,0.155128087,0.050377449,0.053221654,0.017984486,0.030217247,0.112325357,0.04273306,-0.094526922,-0.082042779,-0.068502011,-0.001532641,-0.099692736,-0.109583206,-0.039693395,-0.013726853,0.004875926,0.027465923,-0.098821422,-0.119087409,0.194041597,-0.040680458,-0.133470245,-0.10767862,0.010827786,-0.031948103,-0.020225645,-0.097250314,0.046329781,0.02175435,-0.061369557,-0.194854835,-0.124745354,-0.131416023,-0.025176011,0.050745382,-0.151214127,-0.024178667,0.025176011,-0.023056439,0.056978249,0.034849884,-0.024823894,0.062445658,-0.044436408,0.007998343,0.122474317,0.052606565,0.011945109,0.054274542,-0.008298388,-0.046736045,-0.012523562,0.038791598,0.005554504,0.038074853,0.011706537,0.218322308,-0.084497734,-0.078147863,-0.000555626,-0.010572233,0.176864409,-0.104444436,-0.030354566,0.215784386,-0.163210178
Percent.Native.Hawaiin.Male,0.085602536,0.112824734,0.24969533,0.228497716,0.371698515,0.320421982,0.155128087,1,0.271029754,0.294663072,0.235149226,0.039889867,0.372336094,0.258958027,-0.403464544,-0.345953406,-0.125724542,0.06568071,0.01585326,-0.006818313,-0.162919463,0.228090676,-0.028862162,-0.038166587,0.102498707,-0.036790866,-0.088467928,0.086886709,0.082782916,0.046455627,0.173911246,-0.013197016,0.339455446,-0.010365277,0.237051842,0.324189234,0.23968203,-0.15713854,-0.018585855,0.124702722,0.30279745,-0.254457545,-0.112710435,-0.062509582,-0.30279745,-0.100535889,0.185361525,0.217884102,0.14980262,0.124129067,0.053454577,0.307110586,0.221208839,0.284553972,-0.14354794,-0.063209674,-0.077803836,-0.212251709,-0.007157569,0.225223722,0.301001787,0.117684997,0.119545434,0.015756701,-0.155145209,0.259911481,-0.0649048,0.007741294,-0.090243373,0.075823238,-0.109647292,-0.006537706,-0.051786006
Percent.Asain.Female,0.239609283,-0.258576461,0.593683666,0.553704466,0.458073909,0.472409064,0.050377449,0.271029754,1,0.989930319,0.370666189,0.116469292,0.417387426,0.216668971,-0.588623393,-0.550483171,-0.180191596,-0.026446399,0.011985034,-0.411929599,-0.101769672,0.398162589,-0.009261657,-0.070376752,0.087722415,0.134641706,0.304245362,0.246930466,0.305792022,0.01077357,0.455008552,0.248828151,0.154005685,-0.106725201,0.063639852,0.117250759,0.144784126,-0.210958569,-0.156202233,-0.036042495,0.08310427,-0.503939381,0.396132282,0.413827497,-0.08310427,-0.314699296,-0.188928681,-0.229678628,-0.200858606,-0.15510519,-0.100207016,0.27479888,-0.162493228,-0.082430669,-0.237573193,-0.196369618,-0.211970395,-0.191686505,-0.157030099,0.061926575,0.336684261,-0.131224014,-0.033690239,0.384103086,0.279488181,-0.105682643,-0.488273063,-0.572612031,-0.047967299,0.053445803,-0.543675254,-0.036132238,0.011208415
Percent.Asain.Male,0.254070981,-0.251406394,0.559650156,0.529953993,0.476513677,0.497094426,0.053221654,0.294663072,0.989930319,1,0.353965629,0.132708616,0.41869319,0.244356354,-0.598659563,-0.568247522,-0.145126051,-0.034441814,0.019036904,-0.398319692,-0.11029045,0.393394519,-0.018991837,-0.05663793,0.111236716,0.128361871,0.282306701,0.251244295,0.319706485,0.022542099,0.456487907,0.243407452,0.158079189,-0.094750731,0.076377946,0.127862343,0.142875561,-0.201197082,-0.149577942,-0.032060336,0.092983196,-0.491995074,0.406343092,0.391687422,-0.092983196,-0.278521434,-0.164190589,-0.207521162,-0.190809769,-0.132060073,-0.085174003,0.326402323,-0.143258168,-0.040162594,-0.255208478,-0.202993358,-0.200696478,-0.182812156,-0.142970388,0.098974449,0.387816075,-0.119286522,0.00102292,0.339170951,0.268912179,-0.073669931,-0.471594074,-0.523080662,-0.038782198,0.044150951,-0.507813212,-0.01340513,-0.011617295
